,date,pas,total
0,1848-07-02,42,7786
1,1848-07-03,51,8062
2,1848-07-05,60,7779
3,1848-07-06,50,8253
4,1848-07-07,54,8051
5,1848-07-08,47,8076
6,1848-07-09,54,8311
7,1848-07-10,48,7809
8,1848-07-11,61,8339
9,1848-07-12,59,8240
10,1848-07-13,32,7900
11,1848-07-14,46,7656
12,1848-07-15,46,8178
13,1848-07-16,48,8086
14,1848-07-17,52,9014
15,1848-07-18,48,9181
16,1848-07-19,48,8800
17,1848-07-20,51,9180
18,1848-07-21,44,8912
19,1848-07-22,41,8390
20,1848-07-23,43,8916
21,1848-07-24,37,8612
22,1848-07-25,59,9000
23,1848-07-26,39,8566
24,1848-07-27,47,8970
25,1848-07-28,47,9024
26,1848-07-29,40,8989
27,1848-07-30,50,8876
28,1848-07-31,69,9226
29,1848-08-01,46,8852
30,1848-08-02,50,8763
31,1848-08-03,46,8810
32,1848-08-04,49,8985
33,1848-08-05,44,8806
34,1848-08-06,50,8361
35,1848-08-07,56,8647
36,1848-08-08,51,8902
37,1848-08-09,64,9852
38,1848-08-10,60,8946
39,1848-08-11,40,9695
40,1848-08-12,64,8276
41,1848-08-13,33,9139
42,1848-08-14,54,8642
43,1848-08-15,51,8884
44,1848-08-17,45,8516
45,1848-08-18,69,9089
46,1848-08-19,59,8711
47,1848-08-20,47,9123
48,1848-08-21,35,8870
49,1848-08-22,45,8715
50,1848-08-23,39,8562
51,1848-08-24,60,8874
52,1848-08-25,39,8937
53,1848-08-26,53,8939
54,1848-08-27,52,8819
55,1848-08-28,47,9256
56,1848-08-29,49,9033
57,1848-08-30,73,9292
58,1848-08-31,57,9229
59,1848-09-01,53,8847
60,1848-09-02,37,8670
61,1848-09-03,49,8626
62,1848-09-04,43,8639
63,1848-09-06,48,8598
64,1848-09-07,40,8424
65,1848-09-08,57,8987
66,1848-09-09,48,8875
67,1848-09-10,43,8750
68,1848-09-11,42,8823
69,1848-09-12,49,8731
70,1848-09-13,54,8987
71,1848-09-14,38,8458
72,1848-09-15,60,8589
73,1848-09-16,54,8527
74,1848-09-17,50,8804
75,1848-09-18,64,8123
76,1848-09-19,52,8625
77,1848-09-20,51,8641
78,1848-09-21,57,8687
