countrycode,country,year,gdppc,pop
FRA,France,1,956,5000.00
FRA,France,1000,,6500.00
FRA,France,1280,1321,
FRA,France,1281,1288,
FRA,France,1282,1253,
FRA,France,1283,1237,
FRA,France,1284,1219,
FRA,France,1285,1253,
FRA,France,1286,1253,
FRA,France,1287,1270,
FRA,France,1288,1304,
FRA,France,1289,1321,
FRA,France,1290,1321,
FRA,France,1291,1321,
FRA,France,1292,1339,
FRA,France,1293,1355,
FRA,France,1294,1270,
FRA,France,1295,1219,
FRA,France,1296,1253,
FRA,France,1297,1288,
FRA,France,1298,1339,
FRA,France,1299,1388,
FRA,France,1300,1423,
FRA,France,1301,1457,
FRA,France,1302,1508,
FRA,France,1303,1541,
FRA,France,1304,1559,
FRA,France,1305,1610,
FRA,France,1306,1710,
FRA,France,1307,1745,
FRA,France,1308,1779,
FRA,France,1309,1795,
FRA,France,1310,1812,
FRA,France,1311,1795,
FRA,France,1312,1830,
FRA,France,1313,1761,
FRA,France,1314,1745,
FRA,France,1315,1694,
FRA,France,1316,1677,
FRA,France,1317,1694,
FRA,France,1318,1710,
FRA,France,1319,1710,
FRA,France,1320,1610,
FRA,France,1321,1610,
FRA,France,1322,1610,
FRA,France,1323,1643,
FRA,France,1324,1659,
FRA,France,1325,1728,
FRA,France,1326,1728,
FRA,France,1327,1694,
FRA,France,1328,1677,
FRA,France,1329,1643,
FRA,France,1330,1610,
FRA,France,1331,1575,
FRA,France,1332,1575,
FRA,France,1333,1592,
FRA,France,1334,1677,
FRA,France,1335,1694,
FRA,France,1336,1710,
FRA,France,1337,1745,
FRA,France,1338,1710,
FRA,France,1339,1694,
FRA,France,1340,1677,
FRA,France,1341,1677,
FRA,France,1342,1659,
FRA,France,1343,1677,
FRA,France,1344,1677,
FRA,France,1345,1677,
FRA,France,1346,1728,
FRA,France,1347,1795,
FRA,France,1348,1846,
FRA,France,1349,1846,
FRA,France,1350,1897,
FRA,France,1351,1897,
FRA,France,1352,1881,
FRA,France,1353,1881,
FRA,France,1354,1948,
FRA,France,1355,1948,
FRA,France,1356,1914,
FRA,France,1357,1897,
FRA,France,1358,1897,
FRA,France,1359,1863,
FRA,France,1360,1846,
FRA,France,1361,1846,
FRA,France,1362,1863,
FRA,France,1363,1863,
FRA,France,1364,1881,
FRA,France,1365,1881,
FRA,France,1366,1863,
FRA,France,1367,1863,
FRA,France,1368,1881,
FRA,France,1369,1897,
FRA,France,1370,1914,
FRA,France,1371,1897,
FRA,France,1372,1897,
FRA,France,1373,1881,
FRA,France,1374,1863,
FRA,France,1375,1863,
FRA,France,1376,1846,
FRA,France,1377,1830,
FRA,France,1378,1830,
FRA,France,1379,1830,
FRA,France,1380,1812,
FRA,France,1381,1795,
FRA,France,1382,1779,
FRA,France,1383,1761,
