date,count,base,mot,url,ratio,resolution,corpus,langue,bibli,search_mode
1789/01,0,199,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/01/01%22%20and%20gallicapublication_date%3C=%221789/01/31%22),0,Mois,Presse,Français,Gallica,Document
1789/02,0,86,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/02/01%22%20and%20gallicapublication_date%3C=%221789/02/28%22),0,Mois,Presse,Français,Gallica,Document
1789/03,0,95,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/03/01%22%20and%20gallicapublication_date%3C=%221789/03/31%22),0,Mois,Presse,Français,Gallica,Document
1789/04,0,97,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/04/01%22%20and%20gallicapublication_date%3C=%221789/04/30%22),0,Mois,Presse,Français,Gallica,Document
1789/05,0,116,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/05/01%22%20and%20gallicapublication_date%3C=%221789/05/31%22),0,Mois,Presse,Français,Gallica,Document
1789/06,0,126,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/06/01%22%20and%20gallicapublication_date%3C=%221789/06/30%22),0,Mois,Presse,Français,Gallica,Document
1789/07,0,267,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/07/01%22%20and%20gallicapublication_date%3C=%221789/07/31%22),0,Mois,Presse,Français,Gallica,Document
1789/08,0,304,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/08/01%22%20and%20gallicapublication_date%3C=%221789/08/31%22),0,Mois,Presse,Français,Gallica,Document
1789/09,0,281,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/09/01%22%20and%20gallicapublication_date%3C=%221789/09/30%22),0,Mois,Presse,Français,Gallica,Document
1789/10,0,343,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/10/01%22%20and%20gallicapublication_date%3C=%221789/10/31%22),0,Mois,Presse,Français,Gallica,Document
