,date,pas,total
0,1868-07-05,106,20365
1,1868-07-06,132,21138
2,1868-07-07,137,20948
3,1868-07-08,144,22245
4,1868-07-09,100,19029
5,1868-07-10,124,20934
6,1868-07-11,122,22040
7,1868-07-12,102,27967
8,1868-07-13,87,20701
9,1868-07-14,105,23356
10,1868-07-15,118,21397
11,1868-07-16,151,21750
12,1868-07-17,123,22591
13,1868-07-18,120,21197
14,1868-07-19,137,21816
15,1868-07-20,118,20959
16,1868-07-21,137,21801
17,1868-07-22,103,21206
18,1868-07-23,154,22629
19,1868-07-24,113,21448
20,1868-07-25,133,23278
21,1868-07-26,102,21334
22,1868-07-27,114,21558
23,1868-07-28,112,18946
24,1868-07-29,97,21889
25,1868-07-30,133,22367
26,1868-07-31,156,22091
27,1868-08-01,137,20445
28,1868-08-02,117,19738
29,1868-08-03,126,21858
30,1868-08-04,162,21270
31,1868-08-05,122,20094
32,1868-08-06,112,21583
33,1868-08-07,155,21306
34,1868-08-08,107,21077
35,1868-08-09,107,19044
36,1868-08-10,127,21147
37,1868-08-11,103,20489
38,1868-08-12,93,19928
39,1868-08-13,83,20203
40,1868-08-14,97,19713
41,1868-08-15,151,18564
42,1868-08-16,95,18504
43,1868-08-17,77,15333
44,1868-08-18,129,21887
45,1868-08-19,117,19054
46,1868-08-20,101,19050
47,1868-08-21,113,19784
48,1868-08-22,135,19853
49,1868-08-23,117,20798
50,1868-08-24,65,19376
51,1868-08-25,136,20164
52,1868-08-26,130,19850
53,1868-08-27,116,19412
54,1868-08-28,114,19983
55,1868-08-29,92,19968
56,1868-08-30,90,18441
57,1868-08-31,83,17256
58,1868-09-01,107,17254
59,1868-09-02,111,19991
60,1868-09-03,74,18579
61,1868-09-04,97,19842
62,1868-09-05,130,20743
63,1868-09-06,99,18103
64,1868-09-07,109,18400
65,1868-09-08,112,19938
66,1868-09-09,121,18841
67,1868-09-10,108,18806
68,1868-09-11,119,18240
69,1868-09-12,117,19156
70,1868-09-13,110,17216
71,1868-09-14,118,18995
72,1868-09-15,98,17956
73,1868-09-16,121,19314
74,1868-09-17,97,18570
75,1868-09-18,87,18884
76,1868-09-19,127,18924
77,1868-09-20,80,16348
78,1868-09-21,123,20015
79,1868-09-22,81,19936
80,1868-09-23,113,18646
81,1868-09-24,125,19142
82,1868-09-25,67,16499
83,1868-09-26,80,15837
84,1868-09-27,78,16192
85,1868-09-28,65,17499
86,1868-09-29,93,19109
87,1868-09-30,83,18903
88,1868-10-01,114,17204
89,1868-10-02,61,16481
90,1868-10-03,105,18937
91,1868-10-04,87,17550
92,1868-10-05,70,17223
93,1868-10-06,66,16958
94,1868-10-07,115,20013
95,1868-10-08,84,19376
96,1868-10-09,66,14116
97,1868-10-10,78,17046
98,1868-10-11,63,16724
99,1868-10-12,87,19289
100,1868-10-13,92,19112
101,1868-10-14,111,17743
102,1868-10-15,100,19293
103,1868-10-16,110,19909
104,1868-10-17,88,18127
105,1868-10-18,134,20111
106,1868-10-19,99,19690
107,1868-10-20,126,20281
108,1868-10-21,103,20002
109,1868-10-22,117,19714
110,1868-10-23,90,17386
111,1868-10-24,94,19013
112,1868-10-25,76,16259
113,1868-10-26,89,16489
114,1868-10-27,94,20816
115,1868-10-28,98,18242
116,1868-10-29,114,19996
117,1868-10-30,105,18079
118,1868-10-31,106,17816
119,1868-11-01,82,18206
120,1868-11-02,122,19549
121,1868-11-03,90,18616
122,1868-11-04,84,19939
123,1868-11-05,101,19827
124,1868-11-06,99,19634
125,1868-11-07,99,18986
126,1868-11-08,68,17544
127,1868-11-09,69,17918
128,1868-11-10,115,19580
129,1868-11-11,64,16673
130,1868-11-12,86,19526
131,1868-11-13,96,20569
132,1868-11-14,80,19867
133,1868-11-15,86,19583
134,1868-11-16,78,17041
135,1868-11-17,80,17899
136,1868-11-18,109,20642
137,1868-11-19,83,20259
138,1868-11-20,93,20023
139,1868-11-21,112,20579
140,1868-11-22,64,17065
141,1868-11-23,113,20530
142,1868-11-24,102,19733
143,1868-11-25,89,18919
144,1868-11-26,84,19366
145,1868-11-27,81,19499
146,1868-11-28,81,20434
147,1868-11-29,67,18490
148,1868-11-30,94,19740
149,1868-12-01,88,20293
150,1868-12-02,83,20822
151,1868-12-03,71,16961
152,1868-12-04,77,20093
153,1868-12-05,95,19710
154,1868-12-06,121,19249
155,1868-12-07,73,20517
156,1868-12-08,96,19695
157,1868-12-09,85,18858
158,1868-12-10,61,18843
159,1868-12-11,116,20427
160,1868-12-12,80,19174
161,1868-12-13,74,16594
162,1868-12-14,70,18932
163,1868-12-15,72,18662
164,1868-12-16,102,17022
165,1868-12-17,105,18350
166,1868-12-18,106,18989
167,1868-12-19,99,18311
168,1868-12-20,100,18402
169,1868-12-21,109,20372
170,1868-12-22,72,19756
171,1868-12-23,95,18299
172,1868-12-24,100,20464
173,1868-12-25,68,18829
174,1868-12-26,103,20247
175,1868-12-27,91,17345
176,1868-12-28,103,20062
177,1868-12-29,93,18513
178,1868-12-30,92,18822
179,1868-12-31,84,18483
180,1869-01-01,96,19714
181,1869-01-02,86,19866
182,1869-01-03,91,18354
183,1869-01-04,77,18899
184,1869-01-05,94,17704
185,1869-01-06,79,18276
186,1869-01-07,78,19386
