,date,pas,total
0,1786-01-03,3,2796
1,1786-01-06,5,4230
2,1786-01-10,1,2680
3,1786-01-13,6,2812
4,1786-01-17,8,4113
5,1786-01-20,7,6344
6,1786-01-24,5,2849
7,1786-01-27,2,3028
8,1786-01-31,4,4046
9,1786-02-03,6,2921
10,1786-02-07,9,3074
11,1786-02-10,6,2745
12,1786-02-14,8,2916
13,1786-02-17,4,2939
14,1786-02-21,13,4829
15,1786-02-24,4,3025
16,1786-02-28,9,2959
17,1786-03-03,2,2681
18,1786-03-07,5,2942
19,1786-03-10,5,3041
20,1786-03-14,5,2888
21,1786-03-17,3,2880
22,1786-03-21,8,4180
23,1786-03-24,3,2960
24,1786-03-28,8,2784
25,1786-03-31,5,2948
26,1786-04-04,4,4187
27,1786-04-07,1,2832
28,1786-04-11,4,3007
29,1786-04-14,6,2815
30,1786-04-18,4,2894
31,1786-04-21,7,3036
32,1786-04-25,0,2880
33,1786-04-28,1,2796
34,1786-05-02,3,2758
35,1786-05-05,12,2921
36,1786-05-09,4,2957
37,1786-05-12,5,3014
38,1786-05-16,2,2970
39,1786-05-19,3,2808
40,1786-05-23,4,3096
41,1786-05-26,4,2898
42,1786-05-30,5,2861
43,1786-06-02,4,2820
44,1786-06-06,2,2863
45,1786-06-09,6,2727
46,1786-06-13,5,2906
47,1786-06-16,5,3054
48,1786-06-20,4,2815
49,1786-06-23,3,2804
50,1786-06-27,3,2978
51,1786-06-30,5,3067
52,1786-07-04,8,3003
53,1786-07-07,2,2981
54,1786-07-11,4,3089
55,1786-07-14,5,4373
56,1786-07-18,2,2780
57,1786-07-21,3,2897
58,1786-07-25,4,2979
59,1786-07-28,11,4328
60,1786-08-01,7,2867
61,1786-08-04,7,2918
62,1786-08-08,4,4541
63,1786-08-11,3,2861
64,1786-08-15,2,3010
65,1786-08-18,2,2680
66,1786-08-22,2,2898
67,1786-08-25,1,2946
68,1786-08-29,4,4086
69,1786-09-01,24,9021
70,1786-09-05,2,3108
71,1786-09-08,5,2930
72,1786-09-12,2,2912
73,1786-09-15,4,3030
74,1786-09-19,6,2986
75,1786-09-22,7,2964
76,1786-09-26,3,2888
77,1786-09-29,11,2942
78,1786-10-03,9,3034
79,1786-10-06,4,2915
80,1786-10-10,4,2940
81,1786-10-13,4,2831
82,1786-10-17,1,3024
83,1786-10-20,0,2886
84,1786-10-24,2,2813
85,1786-10-27,5,2788
86,1786-10-31,7,2859
87,1786-11-03,2,2869
88,1786-11-07,1,2716
89,1786-11-10,2,2850
90,1786-11-14,1,2920
91,1786-11-17,6,3004
92,1786-11-21,14,6385
93,1786-11-24,20,6491
94,1786-11-28,7,5502
95,1786-12-01,6,5807
96,1786-12-05,4,3048
97,1786-12-08,2,2999
98,1786-12-12,8,2947
99,1786-12-15,2,2992
100,1786-12-19,2,2981
101,1786-12-22,2,2943
102,1786-12-26,2,2924
103,1786-12-29,12,27291
104,1787-01-02,12,4383
105,1787-01-05,6,2974
106,1787-01-09,4,2940
107,1787-01-12,2,2903
108,1787-01-16,2,3145
109,1787-01-19,6,4570
110,1787-01-23,2,2924
111,1787-01-26,11,5874
112,1787-01-30,6,2983
113,1787-02-02,4,3069
114,1787-02-06,4,3169
115,1787-02-09,1,3131
116,1787-02-13,5,3050
117,1787-02-16,1,3094
118,1787-02-20,3,3136
119,1787-02-23,4,2785
120,1787-02-27,10,4843
121,1787-03-02,39,10808
122,1787-03-06,5,2951
123,1787-03-09,9,3233
124,1787-03-13,5,4927
125,1787-03-16,2,3043
126,1787-03-20,1,3004
127,1787-03-23,3,3023
128,1787-03-27,2,3007
129,1787-03-30,4,2962
130,1787-04-03,2,3089
131,1787-04-06,2,3002
132,1787-04-10,4,2912
133,1787-04-13,5,3109
134,1787-04-17,3,3017
135,1787-04-20,4,2914
136,1787-04-24,2,2781
137,1787-04-27,7,5155
138,1787-05-01,2,2914
139,1787-05-04,6,3212
140,1787-05-08,4,3096
141,1787-05-11,6,4841
142,1787-05-15,3,3032
143,1787-05-18,1,3107
144,1787-05-22,5,4093
145,1787-05-25,6,3137
146,1787-05-29,3,2936
147,1787-06-01,31,9859
148,1787-06-05,13,6817
149,1787-06-08,20,8088
150,1787-06-12,5,3060
151,1787-06-15,4,4900
152,1787-06-19,4,3049
153,1787-06-20,3,2933
154,1787-06-26,3,4472
155,1787-06-29,3,4688
156,1787-07-03,8,4508
157,1787-07-06,2,2990
158,1787-07-10,21,6419
159,1787-07-13,9,3102
160,1787-07-17,5,2990
161,1787-07-20,4,3074
162,1787-07-24,2,2894
163,1787-07-27,4,3025
164,1787-07-31,4,3007
165,1787-08-03,1,3008
166,1787-08-07,5,2936
167,1787-08-10,3,2958
168,1787-08-14,6,4383
169,1787-08-17,12,8960
170,1787-08-21,14,5712
171,1787-08-24,1,2955
172,1787-08-28,2,3931
173,1787-09-04,3,3077
174,1787-09-07,4,2765
175,1787-09-11,5,2830
176,1787-09-14,2,2984
177,1787-09-18,2,1364
178,1787-09-21,4,3017
179,1787-09-25,5,4355
180,1787-09-28,1,4520
181,1787-10-02,1,2778
182,1787-10-05,4,2794
183,1787-10-09,1,2887
184,1787-10-12,2,2826
185,1787-10-16,3,3982
186,1787-10-19,10,5910
187,1787-10-23,1,2833
188,1787-10-26,5,2894
189,1787-10-30,8,4864
190,1787-11-02,8,4308
191,1787-11-06,0,2709
192,1787-11-09,9,2919
193,1787-11-13,6,2938
194,1787-11-16,3,2821
195,1787-11-20,4,2691
196,1787-11-23,4,2873
197,1787-11-27,12,6392
198,1787-11-30,3,2927
199,1787-12-04,6,2964
200,1787-12-07,6,2970
201,1787-12-11,10,2795
202,1787-12-14,4,2935
203,1787-12-18,4,2840
204,1787-12-21,2,2936
205,1787-12-25,3,3089
206,1787-12-28,3,23402
207,1788-01-01,1,2774
208,1788-01-04,5,2769
209,1788-01-08,5,2790
210,1788-01-11,4,4200
211,1788-01-15,2,2843
212,1788-01-18,4,2688
213,1788-01-22,3,2790
214,1788-01-25,5,2719
215,1788-01-29,7,2996
216,1788-02-01,3,2968
217,1788-02-05,23,8902
218,1788-02-08,3,2581
219,1788-02-12,1,2764
220,1788-02-15,3,2995
221,1788-02-19,5,3055
222,1788-02-22,5,2891
223,1788-02-26,2,3003
224,1788-02-29,9,2993
225,1788-03-04,3,3120
226,1788-03-07,4,2932
227,1788-03-11,4,2998
228,1788-03-14,6,2971
229,1788-03-18,3,2988
230,1788-03-21,6,2819
231,1788-03-25,5,4302
232,1788-03-28,7,4457
233,1788-04-01,4,2854
234,1788-04-04,5,2921
235,1788-04-08,5,3037
236,1788-04-11,8,2804
237,1788-04-15,11,4450
238,1788-04-18,3,2922
239,1788-04-22,4,3194
240,1788-04-25,9,3121
241,1788-04-29,5,3102
242,1788-05-02,6,3024
243,1788-05-06,4,3124
244,1788-05-09,5,2948
245,1788-05-13,3,2947
246,1788-05-16,4,2934
247,1788-05-20,1,3093
248,1788-05-23,3,3156
249,1788-05-27,3,3068
250,1788-05-30,7,2966
251,1788-06-03,5,3079
252,1788-06-06,4,3041
253,1788-06-10,4,3044
254,1788-06-13,3,3053
255,1788-06-17,11,3206
256,1788-06-20,7,2919
257,1788-06-24,6,3124
258,1788-06-27,7,2914
259,1788-07-01,4,3210
260,1788-07-04,3,4746
261,1788-07-08,14,4723
262,1788-07-11,11,4457
263,1788-07-15,8,3084
264,1788-07-18,7,2983
265,1788-07-22,11,4791
266,1788-07-25,3,2958
267,1788-07-29,8,4787
268,1788-08-01,2,2961
269,1788-08-05,6,3178
270,1788-08-08,16,4973
271,1788-08-12,12,4996
272,1788-08-15,11,4768
273,1788-08-19,5,3031
274,1788-08-22,10,5022
275,1788-08-26,6,3033
276,1788-08-29,1,2986
277,1788-09-02,9,3011
278,1788-09-05,1,3023
