,date,pas,total
0,1790-02-16,5,3757
1,1790-02-18,13,5570
2,1790-02-20,19,7510
3,1790-02-23,22,3882
4,1790-02-25,21,5901
5,1790-02-27,11,3736
6,1790-03-02,18,6287
7,1790-03-04,24,11550
8,1790-03-06,20,9541
9,1790-03-09,14,6857
10,1790-03-11,14,6637
11,1790-03-13,15,5635
12,1790-03-16,13,9542
13,1790-03-18,9,6591
14,1790-03-20,23,9384
15,1790-03-23,8,6171
16,1790-03-25,16,4005
17,1790-03-27,12,6187
18,1790-03-30,20,10083
19,1790-04-01,24,6557
20,1790-04-03,14,6634
21,1790-04-06,18,6363
22,1790-04-08,22,6519
23,1790-04-10,17,9623
24,1790-04-13,19,6541
25,1790-04-15,24,9994
26,1790-04-17,8,6341
27,1790-04-20,24,6144
28,1790-04-22,12,6430
29,1790-04-24,17,6203
30,1790-04-27,37,11004
31,1790-04-29,13,6796
32,1790-05-01,67,13921
33,1790-05-04,31,10351
34,1790-05-06,25,9690
35,1790-05-08,29,6437
36,1790-05-11,14,9968
37,1790-05-13,24,9967
38,1790-05-15,28,6526
39,1790-05-18,24,6522
40,1790-05-20,19,10178
41,1790-05-22,15,4453
42,1790-05-25,17,10334
43,1790-05-27,29,6272
44,1790-05-29,22,4263
45,1790-06-01,21,10011
46,1790-06-03,22,13135
47,1790-06-05,11,4180
48,1790-06-08,16,9961
49,1790-06-10,11,9489
50,1790-06-12,5,6982
51,1790-06-15,14,6103
52,1790-06-17,6,6182
53,1790-06-19,7,6447
54,1790-06-22,17,6400
55,1790-06-24,20,6463
56,1790-06-26,21,9616
57,1790-06-29,15,6348
58,1790-07-01,14,4193
59,1790-07-03,4,7394
60,1790-07-06,24,6554
61,1790-07-08,26,4376
62,1790-07-10,12,6531
63,1790-07-13,24,10166
64,1790-07-15,11,4147
65,1790-07-17,5,6526
66,1790-07-20,8,6003
67,1790-07-22,15,6921
68,1790-07-24,12,7034
69,1790-07-27,17,9704
70,1790-07-29,12,6313
71,1790-07-31,17,6374
72,1790-08-03,18,6486
73,1790-08-05,9,4351
74,1790-08-07,7,6901
75,1790-08-10,19,9910
76,1790-08-12,14,6972
77,1790-08-14,6,7399
78,1790-08-17,19,6177
79,1790-08-19,11,6923
80,1790-08-21,16,6413
81,1790-08-24,40,8955
82,1790-08-26,19,6775
83,1790-08-28,11,6748
84,1790-08-31,18,6771
85,1790-09-02,38,10066
86,1790-09-04,16,6403
87,1790-09-07,16,6586
88,1790-09-09,14,4952
89,1790-09-11,16,7702
90,1790-09-14,14,7947
91,1790-09-16,15,7991
92,1790-09-18,16,7555
93,1790-09-21,17,4896
94,1790-09-23,19,7807
95,1790-09-25,12,7630
96,1790-09-28,9,7636
97,1790-09-30,18,7743
98,1790-10-02,32,8162
99,1790-10-05,16,7609
100,1790-10-07,11,7444
101,1790-10-09,29,7680
102,1790-10-12,21,4891
103,1790-10-14,16,7560
104,1790-10-16,15,8614
105,1790-10-19,8,4972
106,1790-10-21,22,8053
107,1790-10-23,19,8177
108,1790-10-26,21,7928
109,1790-10-28,14,7315
110,1790-10-30,17,4741
111,1790-11-02,22,4880
112,1790-11-04,16,7297
113,1790-11-06,10,7986
114,1790-11-09,6,7824
