,date,pas,total
0,1930-11-29,238,49667
1,1930-12-06,302,55817
2,1930-12-13,380,56424
3,1930-12-20,334,56326
4,1930-12-27,323,53944
5,1931-01-03,355,57225
6,1931-01-10,286,55366
7,1931-01-17,289,56294
8,1931-01-24,328,55927
9,1931-01-31,309,55101
10,1931-02-07,318,54353
11,1931-02-14,325,57972
12,1931-02-21,355,55335
13,1931-02-28,334,55436
14,1931-03-07,304,60056
15,1931-03-14,300,55093
16,1931-03-21,357,57173
17,1931-03-28,359,58355
18,1931-04-04,321,58258
19,1931-04-11,370,60030
20,1931-04-18,341,55336
21,1931-04-25,356,58493
22,1931-05-02,304,57850
23,1931-05-09,372,57963
24,1931-05-16,323,58200
25,1931-05-23,335,57507
26,1931-05-30,332,59003
27,1931-06-06,312,58522
28,1931-06-12,316,62081
29,1931-06-20,325,57891
30,1931-06-27,348,58548
31,1931-07-04,381,58362
32,1931-07-11,290,48634
33,1931-07-18,319,50469
34,1931-07-25,278,49959
35,1931-08-02,326,49797
36,1931-08-08,294,49491
37,1931-08-15,277,51047
38,1931-08-22,294,48904
39,1931-08-29,281,50639
40,1931-09-05,202,45533
41,1931-09-12,321,50103
42,1931-09-19,291,48908
43,1931-09-26,296,50059
44,1931-10-03,280,49628
45,1931-10-10,335,49278
46,1931-10-17,278,48766
47,1931-10-24,274,48560
48,1931-10-31,311,58055
49,1931-11-07,260,47973
50,1931-11-14,270,43216
51,1931-11-21,275,48988
52,1931-11-28,252,48686
53,1931-12-05,251,49923
54,1931-12-12,230,50364
55,1931-12-19,278,48327
56,1931-12-26,155,38368
57,1932-01-02,255,48517
58,1932-01-09,243,49124
59,1932-01-16,232,43852
60,1932-01-23,279,48132
61,1932-01-30,274,50084
62,1932-02-06,317,49659
63,1932-02-13,227,45276
64,1932-02-20,271,49532
65,1932-02-27,340,48506
66,1932-03-05,287,48801
67,1932-03-12,259,50994
68,1932-03-19,283,51675
69,1932-03-26,276,47492
70,1932-04-02,264,49902
71,1932-04-09,235,51980
72,1932-04-16,259,50613
73,1932-04-23,253,45770
74,1932-04-30,221,51827
75,1932-05-07,229,51382
76,1932-05-14,208,44754
77,1932-05-21,251,51355
78,1932-05-28,264,54473
79,1932-06-04,232,52625
80,1932-06-11,220,55549
81,1932-06-18,231,52471
82,1932-06-25,201,51665
83,1932-07-02,220,51036
84,1932-07-09,261,48834
85,1932-07-16,223,55054
86,1932-07-23,193,54423
87,1932-07-30,245,54377
88,1932-08-06,226,49254
89,1932-08-13,213,52286
90,1932-08-20,261,49184
91,1932-08-27,299,51799
92,1932-09-03,252,50767
93,1932-09-10,288,54374
94,1932-09-17,243,50388
95,1932-09-24,287,49623
96,1932-10-01,202,50212
97,1932-10-08,307,50665
98,1932-10-15,270,52338
99,1932-10-22,166,41384
100,1932-10-29,311,51643
101,1932-11-05,274,50976
102,1932-11-12,267,55282
103,1932-11-19,272,52648
104,1932-11-26,234,52349
105,1932-12-03,241,49720
106,1932-12-10,336,60549
107,1932-12-17,284,49419
108,1932-12-24,295,53019
109,1932-12-31,267,50681
110,1933-01-07,211,48760
111,1933-01-14,273,63824
112,1933-01-21,234,52615
113,1933-01-28,234,48497
114,1933-02-04,298,49604
115,1933-02-11,305,56972
116,1933-02-18,316,50314
117,1933-02-25,283,49517
118,1933-03-04,279,50097
119,1933-03-11,323,61448
120,1933-03-18,380,61468
121,1933-03-25,413,66649
122,1933-04-01,440,60044
123,1933-04-08,359,57138
124,1933-04-15,397,64883
125,1933-04-22,336,53114
126,1933-04-29,351,56489
127,1933-05-06,312,55858
128,1933-05-13,366,67046
129,1933-05-20,340,58783
130,1933-05-27,327,57436
131,1933-06-03,329,55265
132,1933-06-10,265,57970
133,1933-06-17,350,59150
134,1933-06-24,309,56065
135,1933-07-01,285,57495
136,1933-07-08,298,60995
137,1933-07-15,382,60571
138,1933-07-22,318,57888
139,1933-07-29,295,58748
140,1933-08-05,279,60040
141,1933-08-12,354,59475
142,1933-08-19,376,58369
143,1933-08-26,341,57793
144,1933-09-02,316,57391
145,1933-09-09,295,58090
146,1933-09-16,335,54290
147,1933-09-23,345,57409
148,1933-09-30,360,58355
149,1933-10-07,306,57913
150,1933-10-14,350,57114
151,1933-10-21,368,56949
152,1933-10-28,370,57119
153,1933-11-04,351,59424
154,1933-11-11,306,56558
155,1933-11-18,389,59663
156,1933-11-25,380,58944
157,1933-12-02,329,57204
158,1933-12-09,360,57265
159,1933-12-16,368,56278
160,1933-12-23,380,58851
161,1933-12-30,336,58244
162,1934-01-06,357,59172
163,1934-01-13,338,59802
164,1934-01-20,339,58773
165,1934-01-27,384,60182
166,1934-02-03,398,59882
167,1934-02-10,375,59166
168,1934-02-17,388,59455
169,1934-02-24,339,61027
170,1934-03-03,372,59653
171,1934-03-10,340,60606
172,1934-03-17,357,59474
173,1934-03-24,350,60598
174,1934-03-31,319,60303
175,1934-04-07,359,59832
176,1934-04-14,343,61973
177,1934-04-21,352,60563
178,1934-04-28,361,61744
179,1934-05-05,406,59202
180,1934-05-12,323,57171
181,1934-05-19,314,56428
182,1934-05-26,300,58575
183,1934-06-02,328,59195
184,1934-06-09,351,58445
185,1934-06-16,339,57530
186,1934-06-23,418,60703
187,1934-06-30,338,58248
188,1934-07-07,291,57412
189,1934-07-14,359,59100
190,1934-07-21,324,56409
