,date,pas,total
0,1880-04-01,361,56474
1,1880-05-01,474,69490
2,1880-06-01,345,53903
3,1880-07-01,304,53810
4,1880-08-01,300,52978
5,1880-09-01,263,53403
6,1880-10-01,300,59563
7,1880-11-01,319,56273
8,1880-12-01,193,42907
9,1881-01-01,353,60114
10,1881-02-01,245,48511
11,1881-04-01,280,55100
12,1881-05-01,248,54950
13,1881-06-01,283,55282
14,1881-07-01,290,54068
15,1881-08-01,299,50949
16,1881-09-01,275,56102
17,1881-10-01,225,50880
18,1881-11-01,280,54670
19,1881-12-01,230,48621
20,1882-01-01,296,52940
21,1882-02-01,308,51919
22,1882-03-01,181,38957
23,1882-04-01,413,70792
24,1882-05-01,171,45113
25,1882-06-01,363,52126
26,1882-07-01,309,50557
27,1882-08-01,265,53258
28,1882-09-01,322,54569
29,1882-10-01,386,58202
30,1882-11-01,261,55499
31,1882-12-01,279,55174
32,1883-01-01,294,57914
33,1883-02-01,269,52114
34,1883-03-01,341,56909
35,1883-04-01,265,47767
36,1883-09-05,55,11733
37,1883-09-06,38,10988
38,1883-09-07,43,11371
39,1883-09-08,26,11356
40,1883-09-09,68,11410
41,1883-09-11,38,11202
42,1883-09-12,41,10740
43,1883-09-13,40,11491
44,1883-09-14,34,9955
45,1883-09-15,42,11043
46,1883-09-16,72,10993
47,1883-09-18,51,10506
48,1883-09-19,45,11230
49,1883-09-20,39,10874
50,1883-09-21,60,10834
51,1883-09-22,54,11238
52,1883-09-23,42,10998
53,1883-09-25,45,10978
54,1883-09-26,47,11496
55,1883-09-27,63,11511
56,1883-09-28,61,11899
57,1883-09-29,45,11278
58,1883-09-30,77,11445
59,1883-10-02,56,11465
60,1883-10-03,50,11402
61,1883-10-04,35,11418
62,1883-10-05,60,11003
63,1883-10-06,60,11019
64,1883-10-07,45,10884
65,1883-10-09,39,11202
66,1883-10-10,56,10762
67,1883-10-11,71,11810
68,1883-10-12,51,10472
69,1883-10-13,69,11432
70,1883-10-14,51,10544
71,1883-10-16,53,11059
72,1883-10-17,50,10897
73,1883-10-18,58,10496
74,1883-10-19,70,11617
75,1883-10-20,38,11551
76,1883-10-21,56,11134
77,1883-10-23,42,10966
78,1883-10-24,47,10774
79,1883-10-25,36,10691
80,1883-10-26,56,10181
81,1883-10-27,50,10871
82,1883-10-28,51,11031
83,1883-10-30,48,10948
84,1883-10-31,81,11154
85,1883-11-01,89,17428
86,1883-11-03,51,10753
87,1883-11-04,42,10959
88,1883-11-05,56,11675
89,1883-11-07,69,10557
90,1883-11-08,54,10538
91,1883-11-09,58,10692
92,1883-11-10,57,11475
93,1883-11-11,57,10922
94,1883-11-12,77,11516
95,1883-11-14,58,10597
96,1883-11-15,62,11213
97,1883-11-16,53,10633
98,1883-11-17,49,11634
99,1883-11-18,53,10530
100,1883-11-19,71,10591
101,1883-11-21,64,11549
102,1883-11-22,46,10461
103,1883-11-23,57,11111
104,1883-11-24,67,11084
105,1883-11-25,66,11337
106,1883-11-26,44,11377
107,1883-11-28,41,11335
108,1883-11-29,34,11608
109,1883-11-30,56,11439
110,1883-12-01,63,11922
111,1883-12-02,54,11634
112,1883-12-03,55,11682
113,1883-12-05,60,11383
114,1883-12-06,64,12060
115,1883-12-07,68,11803
116,1883-12-08,51,11345
117,1883-12-09,70,11702
118,1883-12-10,52,11498
119,1883-12-12,45,11148
120,1883-12-13,57,11560
121,1883-12-14,61,10954
122,1883-12-15,53,10896
123,1883-12-16,53,10944
124,1883-12-17,50,10992
125,1883-12-19,70,11280
126,1883-12-20,75,11674
127,1883-12-21,56,11654
128,1883-12-22,50,11910
129,1883-12-23,51,10484
130,1883-12-24,51,10791
131,1883-12-26,56,10501
132,1883-12-28,59,11090
133,1883-12-29,57,10946
134,1883-12-30,66,10877
135,1883-12-31,62,10261
136,1884-01-02,58,11164
137,1884-01-04,67,11069
138,1884-01-05,40,10708
139,1884-01-06,51,11246
140,1884-01-07,73,11282
141,1884-01-09,64,11287
142,1884-01-10,68,11520
143,1884-01-11,51,11768
144,1884-01-12,50,11202
145,1884-01-13,44,10556
146,1884-01-14,46,11562
147,1884-01-16,36,10932
148,1884-01-17,59,11375
149,1884-01-18,56,11652
150,1884-01-19,53,11276
151,1884-01-21,51,11357
152,1884-01-23,70,11285
153,1884-01-24,79,11721
154,1884-01-25,50,10722
155,1884-01-26,62,10156
156,1884-01-27,70,10867
157,1884-01-28,48,10647
158,1884-01-30,65,11678
159,1884-01-31,44,10313
160,1884-02-01,69,11319
161,1884-02-02,55,11293
162,1884-02-03,50,10494
163,1884-02-04,61,11326
164,1884-02-06,60,10792
165,1884-02-07,42,10534
166,1884-02-08,47,10676
167,1884-02-09,54,10950
168,1884-02-10,51,11706
169,1884-02-11,48,11376
170,1884-02-13,45,11651
171,1884-02-14,31,11044
172,1884-02-15,52,11611
173,1884-02-16,54,11282
174,1884-02-17,62,10315
175,1884-02-18,44,11345
176,1884-02-20,56,11588
177,1884-02-21,60,11396
178,1884-02-22,33,10950
179,1884-02-23,41,11579
180,1884-02-24,52,11163
181,1884-02-25,41,10951
182,1884-02-27,52,11666
