,date,pas,total
0,1849-01-01,84,19140
1,1849-01-02,71,19221
2,1849-01-03,74,18640
3,1849-01-04,75,18597
4,1849-01-05,97,18321
5,1849-01-06,73,18582
6,1849-01-07,119,20378
7,1849-01-08,101,16600
8,1849-01-09,114,20103
9,1849-01-10,124,18770
10,1849-01-11,92,18813
11,1849-01-12,98,18025
12,1849-01-13,162,20497
13,1849-01-14,87,17907
14,1849-01-15,120,19130
15,1849-01-16,117,18889
16,1849-01-17,85,20020
17,1849-01-18,103,19182
18,1849-01-19,139,19769
19,1849-01-20,105,20322
20,1849-01-21,125,20104
21,1849-01-22,101,18631
22,1849-01-23,157,19967
23,1849-01-24,132,20529
24,1849-01-25,121,19735
25,1849-01-26,109,19239
26,1849-01-27,98,20536
27,1849-01-28,91,20506
28,1849-01-29,104,18638
29,1849-01-30,149,21555
30,1849-01-31,101,19721
31,1849-02-01,147,20227
32,1849-02-02,108,20207
33,1849-02-03,102,20115
34,1849-02-04,150,21678
35,1849-02-05,104,19791
36,1849-02-06,93,19814
37,1849-02-07,108,20855
38,1849-02-08,152,21022
39,1849-02-09,100,19289
40,1849-02-10,108,19874
41,1849-02-11,106,19549
42,1849-02-12,91,18362
43,1849-02-13,88,20433
44,1849-02-14,111,20132
45,1849-02-15,104,20785
46,1849-02-16,86,20478
47,1849-02-17,101,20042
48,1849-02-18,116,20451
49,1849-02-19,93,21397
50,1849-02-20,111,20056
51,1849-02-21,89,20437
52,1849-02-22,99,19311
53,1849-02-23,92,19559
54,1849-02-24,96,19938
55,1849-02-25,84,18923
56,1849-02-26,98,19277
57,1849-02-27,77,20019
58,1849-02-28,107,20232
59,1849-03-01,96,20101
60,1849-03-02,71,19417
61,1849-03-03,105,20004
62,1849-03-04,111,20955
63,1849-03-05,59,19142
64,1849-03-06,104,19646
65,1849-03-07,108,19231
66,1849-03-08,100,22231
67,1849-03-09,158,21365
68,1849-03-10,174,21006
69,1849-03-11,158,20892
70,1849-03-12,123,19521
71,1849-03-13,120,20920
72,1849-03-14,138,21381
73,1849-03-15,126,20091
74,1849-03-16,114,20384
75,1849-03-17,148,21451
76,1849-03-18,154,21284
77,1849-03-19,112,19288
78,1849-03-20,155,21133
79,1849-03-21,124,19655
80,1849-03-22,140,20490
81,1849-03-23,140,20287
82,1849-03-24,157,20781
83,1849-03-25,122,20505
84,1849-03-26,128,19253
85,1849-03-27,77,19800
86,1849-03-28,117,20201
87,1849-03-29,105,19801
88,1849-03-30,105,20383
89,1849-03-31,129,20546
90,1849-04-01,161,21147
91,1849-04-02,71,19674
92,1849-04-03,83,18779
93,1849-04-04,90,21226
94,1849-04-05,77,20256
95,1849-04-06,76,20089
96,1849-04-07,75,20379
97,1849-04-08,99,19217
98,1849-04-09,59,19372
99,1849-04-11,83,20586
100,1849-04-12,111,18300
101,1849-04-13,96,19028
102,1849-04-14,101,20303
103,1849-04-15,91,20545
104,1849-04-16,67,20934
105,1849-04-17,126,19834
106,1849-04-18,88,18968
107,1849-04-19,74,19435
108,1849-04-20,90,19799
109,1849-04-21,94,20986
110,1849-04-22,100,20745
111,1849-04-23,81,20618
112,1849-04-24,98,20689
113,1849-04-25,100,21752
114,1849-04-26,119,19564
115,1849-04-27,101,20974
116,1849-04-28,94,21037
117,1849-04-29,138,21019
118,1849-04-30,76,20250
119,1849-05-01,114,19983
120,1849-05-02,84,18735
121,1849-05-03,122,20355
122,1849-05-04,84,18760
123,1849-05-05,65,20426
124,1849-05-06,114,20121
125,1849-05-07,70,20589
126,1849-05-08,140,20374
127,1849-05-09,92,20250
128,1849-05-10,110,19439
129,1849-05-11,126,21049
130,1849-05-12,130,21787
131,1849-05-13,90,20619
132,1849-05-14,94,20119
133,1849-05-15,106,21101
134,1849-05-16,141,20451
135,1849-05-17,105,20526
136,1849-05-18,59,18438
137,1849-05-19,97,20409
138,1849-05-20,176,21039
139,1849-05-21,67,20708
140,1849-05-22,115,19688
141,1849-05-23,114,21390
142,1849-05-24,135,20728
143,1849-05-25,163,22067
144,1849-05-26,120,20615
145,1849-05-27,106,20613
146,1849-05-28,68,20607
147,1849-05-30,96,21691
148,1849-05-31,132,19358
149,1849-06-01,97,20374
150,1849-06-02,84,20194
151,1849-06-03,137,20608
152,1849-06-04,100,21071
153,1849-06-05,112,23079
154,1849-06-07,119,19325
155,1849-06-08,131,21331
156,1849-06-09,80,20576
157,1849-06-10,134,21289
158,1849-06-11,75,21845
159,1849-06-12,156,20900
160,1849-06-13,147,20669
161,1849-06-14,84,18472
162,1849-06-15,108,21286
163,1849-06-16,55,19191
164,1849-06-17,84,20937
165,1849-06-18,70,20839
166,1849-06-19,104,21552
167,1849-06-20,116,21791
168,1849-06-21,79,21722
169,1849-06-22,77,20066
170,1849-06-23,78,21234
171,1849-06-24,92,21485
172,1849-06-25,59,19685
173,1849-06-26,124,21034
174,1849-06-27,142,20836
175,1849-06-28,97,20095
176,1849-06-29,71,20416
177,1849-06-30,102,20299
178,1849-07-01,150,21428
179,1849-07-02,102,20517
180,1849-07-03,98,20282
181,1849-07-04,111,20345
182,1849-07-05,155,20205
183,1849-07-06,97,19314
184,1849-07-07,124,20116
185,1849-07-08,146,21335
186,1849-07-09,63,21007
187,1849-07-10,121,19746
188,1849-07-11,173,20391
189,1849-07-12,85,20042
190,1849-07-13,126,19925
191,1849-07-14,83,18552
192,1849-07-15,82,19647
193,1849-07-16,81,20415
194,1849-07-17,79,19983
195,1849-07-18,106,19258
196,1849-07-19,192,21060
197,1849-07-20,93,20753
198,1849-07-21,81,20002
199,1849-07-22,165,22830
200,1849-07-23,88,21225
201,1849-07-24,197,21405
202,1849-07-25,206,21778
203,1849-07-26,132,19765
204,1849-07-27,106,20638
205,1849-07-28,85,18507
206,1849-07-29,165,20739
207,1849-07-30,53,20126
208,1849-07-31,89,19859
209,1849-08-01,85,19181
210,1849-08-02,72,20391
211,1849-08-03,75,20394
212,1849-08-04,138,20164
213,1849-08-05,201,41514
214,1849-08-06,70,21616
215,1849-08-07,119,19968
216,1849-08-08,153,21424
217,1849-08-09,86,19548
218,1849-08-10,107,20721
219,1849-08-11,101,20232
220,1849-08-12,230,45068
221,1849-08-13,66,19758
222,1849-08-14,80,20037
223,1849-08-15,114,19764
224,1849-08-16,80,20598
225,1849-08-18,109,20095
226,1849-08-19,215,43796
227,1849-08-20,94,20482
228,1849-08-21,80,19174
229,1849-08-22,82,20296
230,1849-08-23,92,19590
231,1849-08-24,63,19879
232,1849-08-25,96,19466
233,1849-08-26,176,44007
234,1849-08-27,65,19852
235,1849-08-28,111,19203
236,1849-08-29,79,19831
237,1849-08-30,63,19162
238,1849-08-31,74,19651
239,1849-09-01,102,19593
240,1849-09-02,203,40700
241,1849-09-03,86,20975
242,1849-09-04,110,20284
243,1849-09-05,76,19960
244,1849-09-06,123,20411
245,1849-09-07,120,20653
246,1849-09-08,112,21059
247,1849-09-09,225,41026
248,1849-09-10,103,20293
249,1849-09-11,65,19441
250,1849-09-12,94,20248
251,1849-09-13,101,19088
252,1849-09-14,98,19856
253,1849-09-15,89,20165
254,1849-09-16,213,41907
255,1849-09-17,96,19800
256,1849-09-18,104,20332
257,1849-09-19,96,19700
258,1849-09-20,88,20648
259,1849-09-21,99,20153
260,1849-09-22,95,20621
261,1849-09-23,214,41751
262,1849-09-24,93,20276
263,1849-09-25,110,20137
264,1849-09-26,96,19325
265,1849-09-27,97,18484
266,1849-09-28,102,20150
267,1849-09-29,107,20252
268,1849-09-30,176,39983
269,1849-10-01,113,20353
270,1849-10-02,90,19369
271,1849-10-03,96,19653
272,1849-10-04,107,18722
273,1849-10-05,107,18836
274,1849-10-06,82,19575
275,1849-10-07,213,40884
276,1849-10-08,83,19447
277,1849-10-09,106,19187
278,1849-10-10,138,20295
279,1849-10-11,115,19292
280,1849-10-12,157,20923
281,1849-10-13,110,19456
282,1849-10-14,267,58630
283,1849-10-15,108,19723
284,1849-10-16,147,21007
285,1849-10-17,157,20199
286,1849-10-18,125,21409
287,1849-10-19,126,21494
288,1849-10-20,179,21618
289,1849-10-21,299,44692
