,date,pas,total
0,1892-03-14,53,19199
1,1892-04-20,103,19427
2,1892-04-21,102,22265
3,1892-04-22,134,22199
4,1892-04-23,111,22470
5,1892-04-24,121,22192
6,1892-04-25,105,21990
7,1892-04-26,92,22167
8,1892-04-27,150,22480
9,1892-04-28,145,23515
10,1892-04-29,124,22967
11,1892-04-30,100,22990
12,1892-05-01,75,22068
13,1892-05-02,123,21658
14,1892-05-03,97,22771
15,1892-05-04,104,22880
16,1892-05-05,93,22618
17,1892-05-06,90,22734
18,1892-05-07,79,22749
19,1892-05-08,92,20544
20,1892-05-09,102,22788
21,1892-05-10,81,22781
22,1892-05-11,109,22917
23,1892-05-12,133,22462
24,1892-05-13,128,23309
25,1892-05-14,85,21712
26,1892-05-15,101,21498
27,1892-05-16,85,21226
28,1892-05-17,103,23276
29,1892-05-18,93,22788
30,1892-05-19,109,22892
31,1892-05-20,110,21940
32,1892-05-21,89,21347
33,1892-05-22,97,21893
34,1892-05-23,101,21659
35,1892-05-24,108,22061
36,1892-05-25,93,22279
37,1892-05-26,82,21120
38,1892-05-27,120,22223
39,1892-05-28,108,21256
40,1892-05-29,80,21231
41,1892-05-30,89,21105
42,1892-05-31,97,21033
43,1892-06-01,107,22215
44,1892-06-02,89,22246
45,1892-06-03,91,21222
46,1892-06-04,97,22229
47,1892-06-05,85,21291
48,1892-06-06,96,21564
49,1892-06-07,91,22030
50,1892-06-08,87,22912
51,1892-06-09,111,21995
52,1892-06-10,122,21459
53,1892-06-11,106,22374
54,1892-06-12,105,21492
55,1892-06-13,85,21448
56,1892-06-14,112,19993
57,1892-06-15,130,22095
58,1892-06-16,104,20396
59,1892-06-17,99,21654
60,1892-06-18,114,22352
61,1892-06-19,92,20916
62,1892-06-20,129,19591
63,1892-06-21,76,22268
64,1892-06-22,117,22107
65,1892-06-23,124,22670
66,1892-06-24,122,22862
67,1892-06-25,87,21922
68,1892-06-26,70,18954
69,1892-06-27,100,20927
70,1892-06-28,125,22315
71,1892-06-29,118,22233
72,1892-06-30,115,21944
73,1892-07-01,155,22994
74,1892-07-02,81,23009
75,1892-07-03,120,21529
76,1892-07-04,71,21524
77,1892-07-05,102,22731
78,1892-07-06,107,22275
79,1892-07-07,80,22331
80,1892-07-08,118,22269
81,1892-07-09,95,22528
82,1892-07-10,123,21189
83,1892-07-11,89,20633
84,1892-07-12,110,20444
85,1892-07-13,108,21524
86,1892-07-14,53,21511
87,1892-07-15,89,21062
88,1892-07-16,82,21231
89,1892-07-17,75,21187
90,1892-07-18,89,21075
91,1892-07-19,87,22127
92,1892-07-20,97,22129
93,1892-07-21,88,22310
94,1892-07-22,94,21210
95,1892-07-23,106,21387
96,1892-07-24,83,21340
97,1892-07-25,95,21445
98,1892-07-26,113,21678
99,1892-07-27,96,21544
100,1892-07-28,94,20391
101,1892-07-29,86,20692
102,1892-07-30,80,20202
103,1892-07-31,91,19912
104,1892-08-01,85,19900
105,1892-08-02,65,21672
106,1892-08-03,102,21485
107,1892-08-04,96,21299
108,1892-08-05,69,21872
109,1892-08-06,63,20364
110,1892-08-07,53,20734
111,1892-08-08,98,20161
112,1892-08-09,84,21256
113,1892-08-10,65,21631
114,1892-08-11,69,22109
115,1892-08-12,82,21479
116,1892-08-13,81,22538
117,1892-08-14,114,20943
118,1892-08-15,101,19465
119,1892-08-16,110,21255
120,1892-08-17,116,22712
121,1892-08-18,89,21970
122,1892-08-19,95,22347
123,1892-08-20,108,21157
124,1892-08-21,89,22193
125,1892-08-22,101,20416
126,1892-08-23,108,22577
127,1892-08-24,75,21316
128,1892-08-25,71,22169
129,1892-08-26,121,22370
130,1892-08-27,103,21693
131,1892-08-28,107,22018
132,1892-08-29,110,21114
133,1892-08-30,177,23273
134,1892-08-31,176,23092
135,1892-09-01,99,21541
136,1892-09-02,94,21118
137,1892-09-03,75,19873
138,1892-09-04,77,21036
139,1892-09-05,94,21814
140,1892-09-06,97,22227
141,1892-09-07,97,22470
142,1892-09-08,74,22004
143,1892-09-09,88,22573
144,1892-09-10,84,21529
145,1892-09-11,90,20003
146,1892-09-12,98,20775
147,1892-09-13,107,22668
148,1892-09-14,83,21421
149,1892-09-15,98,21774
150,1892-09-16,102,21769
151,1892-09-17,66,20865
152,1892-09-18,63,18486
153,1892-09-19,121,21151
154,1892-09-20,100,21377
155,1892-09-21,110,21744
156,1892-09-22,47,20132
157,1892-09-23,83,20997
158,1892-09-24,78,21783
159,1892-09-25,96,21961
160,1892-09-26,122,21656
161,1892-09-27,71,21554
162,1892-09-28,93,21801
163,1892-09-29,113,21619
164,1892-09-30,111,22068
165,1892-10-01,86,21250
166,1892-10-02,75,20292
167,1892-10-03,112,20976
168,1892-10-04,81,22385
169,1892-10-05,106,21095
170,1892-10-06,90,22257
171,1892-10-07,98,21403
172,1892-10-08,78,20998
173,1892-10-09,71,20488
174,1892-10-10,109,22196
175,1892-10-11,95,21100
176,1892-10-12,80,20988
177,1892-10-13,81,21310
178,1892-10-14,95,21766
179,1892-10-15,94,20267
180,1892-10-16,76,20797
181,1892-10-17,94,20534
182,1892-10-18,87,21286
183,1892-10-19,101,20327
184,1892-10-20,96,21316
185,1892-10-21,86,21792
186,1892-10-22,101,20940
187,1892-10-23,87,20837
188,1892-10-24,89,18754
189,1892-10-25,83,21282
190,1892-10-26,91,20304
191,1892-10-27,80,20465
192,1892-10-28,122,21753
193,1892-10-29,86,19890
194,1892-10-30,98,22070
195,1892-10-31,95,19931
196,1892-11-01,81,22275
197,1892-11-02,102,20071
198,1892-11-03,82,21751
199,1892-11-04,73,14988
200,1892-11-05,58,20599
201,1892-11-06,70,20544
202,1892-11-07,116,20968
203,1892-11-08,96,20466
204,1892-11-09,102,21205
205,1892-11-10,84,21273
206,1892-11-11,96,21241
207,1892-11-12,71,20551
208,1892-11-13,103,21163
209,1892-11-14,93,20172
210,1892-11-15,90,20206
211,1892-11-16,117,20527
212,1892-11-17,83,21771
213,1892-11-18,86,21801
214,1892-11-19,84,20483
215,1892-11-20,67,20982
216,1892-11-21,77,20345
217,1892-11-22,72,20068
218,1892-11-23,72,20663
219,1892-11-24,87,20515
220,1892-11-25,97,20492
221,1892-11-26,95,20712
222,1892-11-27,68,19076
223,1892-11-28,96,20400
224,1892-11-29,82,20666
225,1892-11-30,87,21246
226,1892-12-01,84,20041
