,date,neg,pos,total
0,1904-04-18,445,761,24005
1,1904-04-19,511,678,25469
2,1904-04-20,446,695,25261
3,1904-04-21,465,686,26084
4,1904-04-22,464,756,27152
5,1904-04-24,477,754,26035
6,1904-04-25,490,733,25219
7,1904-04-26,538,769,25796
8,1904-04-27,483,705,25985
9,1904-04-28,473,672,26031
10,1904-04-29,468,742,26362
11,1904-04-30,434,745,26836
12,1904-05-01,500,765,25298
13,1904-05-02,416,601,22691
14,1904-05-03,510,614,24876
15,1904-05-04,513,711,25937
16,1904-05-05,532,678,25407
17,1904-05-06,464,757,25432
18,1904-05-07,480,763,26724
19,1904-05-08,505,738,25695
20,1904-05-09,512,635,23197
21,1904-05-10,604,746,25446
22,1904-05-11,480,689,25243
23,1904-05-12,503,776,26027
24,1904-05-13,527,705,24894
25,1904-05-14,535,717,26588
26,1904-05-15,470,703,26266
27,1904-05-16,530,747,25119
28,1904-05-17,479,766,25656
29,1904-05-18,486,746,27000
30,1904-05-19,500,691,26065
31,1904-05-20,489,641,25517
32,1904-05-21,518,699,26135
33,1904-05-22,489,613,26335
34,1904-05-23,499,822,25155
35,1904-05-24,494,801,24420
36,1904-05-25,542,697,25551
37,1904-05-26,470,675,26710
38,1904-05-27,502,724,25559
39,1904-05-28,473,726,26497
40,1904-05-29,439,709,26534
41,1904-05-30,566,756,25476
42,1904-05-31,523,741,25954
43,1904-06-01,522,666,26502
44,1904-06-02,455,642,26127
45,1904-06-03,447,789,26733
46,1904-06-04,465,677,26882
47,1904-06-05,515,743,24604
48,1904-06-06,497,726,25426
49,1904-06-07,511,655,26981
50,1904-06-08,487,664,25830
51,1904-06-09,535,689,26707
52,1904-06-10,617,759,28912
53,1904-06-11,529,741,27683
54,1904-06-12,433,667,25613
55,1904-06-13,538,768,26218
56,1904-06-14,464,723,26577
57,1904-06-15,519,747,26694
58,1904-06-16,449,695,26465
59,1904-06-17,492,663,27303
60,1904-06-18,425,639,26881
61,1904-06-19,444,608,23063
62,1904-06-20,500,865,25937
63,1904-06-21,497,577,26973
64,1904-06-22,473,658,27060
65,1904-06-23,485,591,28416
66,1904-06-24,446,642,28108
67,1904-06-25,393,714,26308
68,1904-06-26,484,719,26599
69,1904-06-27,473,788,26412
70,1904-06-28,483,656,26906
71,1904-06-29,451,727,26792
72,1904-06-30,477,690,26906
73,1904-07-02,434,688,26423
74,1904-07-03,479,749,26034
75,1904-07-04,478,733,26510
76,1904-07-05,510,683,26878
77,1904-07-06,470,710,26951
78,1904-07-07,388,656,26463
79,1904-07-08,467,645,26262
80,1904-07-09,456,687,26120
81,1904-07-10,517,717,25725
82,1904-07-11,546,752,25563
83,1904-07-12,522,674,26640
84,1904-07-13,539,681,27278
85,1904-07-14,463,662,26984
86,1904-07-15,549,850,26279
87,1904-07-16,449,778,27055
88,1904-07-17,478,637,24750
89,1904-07-18,499,748,27140
90,1904-07-19,504,620,27111
91,1904-07-20,567,722,26648
92,1904-07-21,539,635,26588
93,1904-07-22,478,625,26436
94,1904-07-23,580,680,26487
95,1904-07-24,565,740,26218
96,1904-07-25,592,807,26155
97,1904-07-26,550,642,27086
98,1904-07-27,577,767,26341
99,1904-07-28,457,773,26804
100,1904-07-29,621,672,26617
101,1904-07-30,532,729,26647
102,1904-07-31,567,722,26474
103,1904-08-01,568,771,26281
104,1904-08-02,517,752,26530
105,1904-08-03,532,778,26988
106,1904-08-04,457,751,25975
107,1904-08-05,522,742,26937
108,1904-08-06,476,754,26311
109,1904-08-07,511,695,26141
110,1904-08-08,559,804,26192
111,1904-08-09,465,737,25754
112,1904-08-10,485,725,26215
113,1904-08-11,523,699,25571
114,1904-08-12,489,691,26108
115,1904-08-13,532,712,26635
116,1904-08-14,475,688,24339
117,1904-08-15,548,770,25729
118,1904-08-16,565,721,25933
119,1904-08-17,558,694,26612
120,1904-08-18,489,667,25708
121,1904-08-19,577,806,28567
122,1904-08-20,480,727,26376
123,1904-08-21,498,811,27732
124,1904-08-22,483,716,25375
125,1904-08-23,497,829,26265
126,1904-08-24,656,760,26730
127,1904-08-25,464,730,25841
128,1904-08-26,471,812,26831
129,1904-08-27,471,762,26837
130,1904-08-28,538,735,26328
131,1904-08-29,543,821,25803
132,1904-08-30,592,789,27080
133,1904-08-31,635,764,26785
134,1904-09-01,521,719,26285
135,1904-09-02,509,752,26949
136,1904-09-03,523,715,26056
137,1904-09-04,522,704,25682
138,1904-09-05,592,827,26397
139,1904-09-06,518,770,26197
140,1904-09-07,528,674,26235
141,1904-09-08,461,640,25472
142,1904-09-09,502,686,25387
143,1904-09-10,546,697,25943
144,1904-09-11,479,806,25539
145,1904-09-12,544,715,25598
146,1904-09-13,462,593,25445
147,1904-09-14,485,775,25347
148,1904-09-15,546,678,25573
149,1904-09-16,491,660,25240
150,1904-09-17,488,775,25178
151,1904-09-18,449,658,23881
152,1904-09-19,587,705,25088
153,1904-09-20,556,671,24992
154,1904-09-21,483,698,26279
155,1904-09-22,468,677,24938
156,1904-09-23,528,705,26304
157,1904-09-24,454,739,25867
158,1904-09-25,414,675,24172
159,1904-09-26,497,726,25272
160,1904-09-27,477,668,25565
161,1904-09-28,514,752,26211
162,1904-09-29,476,583,26515
163,1904-09-30,415,652,25203
164,1904-10-01,427,650,24864
165,1904-10-02,428,710,23966
166,1904-10-03,496,785,25794
167,1904-10-04,488,717,26686
168,1904-10-05,528,683,26447
169,1904-10-06,435,694,26849
170,1904-10-07,429,706,26409
171,1904-10-08,487,665,26426
172,1904-10-09,487,763,26282
173,1904-10-10,481,793,26038
174,1904-10-11,485,761,25977
175,1904-10-12,407,671,26493
176,1904-10-13,489,678,27523
177,1904-10-14,522,676,25449
178,1904-10-15,515,711,26756
179,1904-10-16,517,636,25647
180,1904-10-17,479,791,25198
181,1904-10-18,468,738,24594
182,1904-10-19,611,720,27118
183,1904-10-20,504,694,25656
184,1904-10-21,493,711,25405
185,1904-10-22,437,783,26931
186,1904-10-23,438,792,25893
187,1904-10-24,475,860,25926
188,1904-10-25,517,672,25470
189,1904-10-26,462,581,25423
190,1904-10-27,448,649,27060
191,1904-10-28,402,656,25924
192,1904-10-29,488,729,27618
193,1904-10-30,417,667,26253
194,1904-10-31,478,676,23892
195,1904-11-01,438,600,25394
196,1904-11-02,533,662,24843
197,1904-11-03,451,642,26020
198,1904-11-04,475,669,26072
199,1904-11-05,540,774,28656
200,1904-11-06,372,520,20577
201,1904-11-07,569,783,25698
202,1904-11-08,527,662,25895
203,1904-11-09,482,717,24700
204,1904-11-10,494,644,26582
205,1904-11-11,467,839,25916
206,1904-11-12,421,683,25311
207,1904-11-13,499,756,25627
208,1904-11-14,511,731,25171
209,1904-11-15,543,742,26349
210,1904-11-16,515,694,26840
211,1904-11-17,464,758,26972
212,1904-11-18,432,678,25439
213,1904-11-19,524,678,26486
214,1904-11-20,508,682,25633
215,1904-11-21,485,800,24295
216,1904-11-22,444,663,25032
217,1904-11-23,478,731,25522
218,1904-11-24,478,760,25845
219,1904-11-25,433,709,25307
220,1904-11-26,512,718,25085
221,1904-11-27,383,692,23440
222,1904-11-28,503,756,25789
223,1904-11-29,483,804,26126
224,1904-11-30,474,707,28265
225,1904-12-01,403,718,25839
226,1904-12-02,567,855,27723
227,1904-12-03,460,689,26416
228,1904-12-04,412,653,24040
229,1904-12-05,555,808,25977
230,1904-12-06,480,713,26675
231,1904-12-07,484,750,27229
232,1904-12-08,551,780,26607
233,1904-12-09,435,607,26518
234,1904-12-10,467,727,26558
235,1904-12-11,416,543,22587
236,1904-12-12,508,802,25953
237,1904-12-13,532,692,25855
238,1904-12-14,484,664,26648
239,1904-12-15,508,787,26555
240,1904-12-16,443,684,26668
241,1904-12-17,447,692,26524
242,1904-12-18,438,650,25010
243,1904-12-19,542,741,26138
244,1904-12-20,494,603,25774
245,1904-12-21,446,682,26803
246,1904-12-22,493,707,26675
247,1904-12-23,466,659,25821
248,1904-12-24,485,666,25577
249,1904-12-25,493,691,25773
250,1904-12-26,632,801,26292
251,1904-12-27,439,701,23945
252,1904-12-28,540,757,26582
253,1904-12-29,451,682,26437
254,1904-12-30,495,630,25845
255,1904-12-31,530,766,27203
256,1905-01-01,493,692,26062
257,1905-01-02,594,830,26559
258,1905-01-03,669,706,26601
259,1905-01-04,617,679,27081
260,1905-01-05,481,686,25994
261,1905-01-06,535,694,26367
262,1905-01-07,542,637,26823
263,1905-01-08,550,604,25325
264,1905-01-09,536,778,25276
265,1905-01-10,484,676,26331
266,1905-01-11,520,706,25690
267,1905-01-12,460,681,26123
268,1905-01-13,514,717,25841
269,1905-01-14,461,777,26297
270,1905-01-15,500,793,27114
271,1905-01-16,475,705,24824
272,1905-01-17,529,703,25445
273,1905-01-18,391,652,26192
274,1905-01-19,474,620,24982
275,1905-01-20,447,712,26250
276,1905-01-21,412,673,25400
277,1905-01-22,404,642,24603
278,1905-01-23,453,584,21168
279,1905-01-24,486,650,25411
280,1905-01-25,451,583,26047
281,1905-01-26,456,576,25193
282,1905-01-27,490,580,25843
283,1905-01-28,516,707,27029
284,1905-01-29,371,567,22013
285,1905-01-30,466,741,26041
286,1905-01-31,525,754,26100
287,1905-02-01,445,693,25285
288,1905-02-02,425,596,26644
289,1905-02-03,410,631,25302
290,1905-02-04,471,709,27222
291,1905-02-05,466,644,25349
292,1905-02-06,431,633,22635
293,1905-02-07,452,612,26175
294,1905-02-08,470,661,27727
295,1905-02-09,445,644,26649
296,1905-02-10,441,679,26513
297,1905-02-11,458,770,27683
298,1905-02-12,418,670,25777
299,1905-02-13,557,786,25575
300,1905-02-14,438,750,26115
301,1905-02-15,374,722,26976
302,1905-02-16,392,702,25521
303,1905-02-17,480,724,26140
304,1905-02-18,468,620,25670
305,1905-02-19,418,670,25552
306,1905-02-20,460,854,26255
307,1905-02-21,457,637,24950
308,1905-02-22,431,655,25715
309,1905-02-23,458,678,26093
310,1905-02-24,494,719,26291
311,1905-02-25,383,647,25839
312,1905-02-26,339,590,22810
313,1905-02-27,525,777,25798
314,1905-02-28,475,712,25890
315,1905-03-01,432,712,26213
316,1905-03-02,456,644,26092
317,1905-03-03,424,624,25397
318,1905-03-04,545,756,25781
319,1905-03-05,458,628,19400
320,1905-03-06,492,717,24715
321,1905-03-07,615,666,26098
322,1905-03-08,553,780,26256
323,1905-03-09,479,640,26065
324,1905-03-10,509,705,25897
325,1905-03-11,489,611,24803
326,1905-03-12,395,557,21446
327,1905-03-13,527,767,25714
328,1905-03-14,550,704,26270
329,1905-03-15,477,654,25240
330,1905-03-16,481,679,25143
331,1905-03-17,452,759,25960
332,1905-03-18,496,707,25969
333,1905-03-19,485,741,25819
334,1905-03-20,534,801,25508
335,1905-03-21,487,850,26422
336,1905-03-22,483,756,26446
337,1905-03-23,455,710,27077
338,1905-03-24,439,848,27535
339,1905-03-25,440,694,26640
340,1905-03-26,355,613,19574
341,1905-03-27,472,802,26680
342,1905-03-28,750,1256,43081
343,1905-03-29,709,1155,42661
344,1905-03-30,756,1218,42736
345,1905-03-31,495,833,27039
346,1905-04-01,403,637,25159
347,1905-04-02,400,588,21025
348,1905-04-03,455,864,25313
349,1905-04-04,489,744,26314
350,1905-04-05,430,756,26679
351,1905-04-06,498,653,26221
352,1905-04-07,473,913,26218
353,1905-04-08,468,777,27947
354,1905-04-09,464,747,26327
355,1905-04-10,509,816,25504
356,1905-04-11,471,724,27124
357,1905-04-12,377,647,26471
358,1905-04-13,467,698,25988
359,1905-04-14,419,687,26531
360,1905-04-15,515,652,26706
361,1905-04-16,458,663,25450
362,1905-04-17,550,771,25434
363,1905-04-18,539,764,26434
364,1905-04-19,597,580,27511
365,1905-04-21,475,686,26646
366,1905-04-22,423,845,28433
367,1905-04-23,464,807,26996
368,1905-04-24,484,815,25855
369,1905-04-25,414,770,25195
370,1905-04-26,506,821,26082
371,1905-04-27,429,724,25866
372,1905-04-28,385,644,23695
373,1905-04-29,426,742,26491
374,1905-04-30,382,629,22003
375,1905-05-01,455,747,26092
376,1905-05-02,516,727,26974
377,1905-05-03,491,718,26487
378,1905-05-04,453,760,26630
379,1905-05-05,479,673,26167
380,1905-05-06,495,841,26513
381,1905-05-07,408,703,25680
382,1905-05-08,470,826,26656
383,1905-05-09,492,734,26701
384,1905-05-10,424,755,25956
385,1905-05-11,448,754,26137
386,1905-05-12,463,651,26702
387,1905-05-13,467,705,26462
388,1905-05-14,507,712,26081
389,1905-05-15,532,833,26354
390,1905-05-16,460,758,26558
391,1905-05-17,457,671,26454
392,1905-05-18,434,687,26311
393,1905-05-19,416,816,27322
394,1905-05-20,485,735,27274
395,1905-05-21,441,780,26079
396,1905-05-22,517,811,26856
397,1905-05-23,507,802,27690
398,1905-05-24,481,815,27771
399,1905-05-25,419,773,26997
400,1905-05-26,440,731,26572
401,1905-05-27,408,698,22830
402,1905-05-28,497,749,26277
403,1905-05-29,854,1277,42059
404,1905-05-30,506,733,25940
405,1905-05-31,529,744,26254
406,1905-06-01,460,611,25829
407,1905-06-02,461,600,25068
408,1905-06-03,480,728,26271
409,1905-06-04,392,664,23466
410,1905-06-05,499,769,26928
411,1905-06-06,462,721,25873
412,1905-06-07,496,893,27292
413,1905-06-08,482,770,26864
414,1905-06-09,441,747,26722
415,1905-06-10,429,764,26793
416,1905-06-11,528,834,26578
417,1905-06-12,561,832,25670
418,1905-06-13,516,714,27446
419,1905-06-14,455,703,26731
420,1905-06-15,383,619,26322
421,1905-06-16,411,665,26053
422,1905-06-17,445,631,25940
423,1905-06-18,486,643,24566
424,1905-06-19,521,821,26256
425,1905-06-20,470,748,25636
426,1905-06-21,488,745,26371
427,1905-06-22,440,601,25808
428,1905-06-23,467,635,26186
429,1905-06-24,472,669,25994
430,1905-06-25,508,614,22085
431,1905-06-26,521,808,25848
432,1905-06-27,501,583,26326
433,1905-06-28,450,654,25854
434,1905-06-29,500,647,26233
435,1905-06-30,434,510,24778
436,1905-07-02,584,709,25607
437,1905-07-03,478,771,26211
438,1905-07-04,502,713,26193
439,1905-07-05,449,668,26444
440,1905-07-06,470,792,26755
441,1905-07-07,422,665,26210
442,1905-07-08,434,685,26505
443,1905-07-09,530,707,24151
444,1905-07-10,535,799,25413
445,1905-07-11,435,767,26332
446,1905-07-12,470,688,26436
447,1905-07-13,467,758,27186
448,1905-07-14,456,706,26453
449,1905-07-15,558,775,26225
450,1905-07-16,560,781,24261
451,1905-07-17,560,836,26243
452,1905-07-18,494,684,26562
453,1905-07-19,433,698,26164
454,1905-07-20,477,765,26248
455,1905-07-21,519,744,26733
456,1905-07-22,509,680,25939
457,1905-07-23,601,703,25806
458,1905-07-24,534,804,26332
459,1905-07-25,526,683,26131
460,1905-07-26,508,783,26203
461,1905-07-27,471,664,26141
462,1905-07-28,440,664,26004
463,1905-07-29,541,599,26287
464,1905-07-30,447,706,25911
465,1905-07-31,524,730,24987
466,1905-08-01,506,704,26632
467,1905-08-02,462,691,25630
468,1905-08-03,515,678,26100
469,1905-08-04,522,695,26004
470,1905-08-05,559,685,26064
471,1905-08-06,510,741,25912
472,1905-08-07,533,760,26011
473,1905-08-08,457,651,25831
474,1905-08-09,443,684,25268
475,1905-08-10,473,648,27012
476,1905-08-11,447,770,26071
477,1905-08-12,513,702,25776
478,1905-08-13,486,782,26030
479,1905-08-14,509,801,25892
480,1905-08-15,564,752,25958
481,1905-08-16,528,715,27063
482,1905-08-17,505,672,26812
483,1905-08-18,445,653,26627
484,1905-08-19,396,701,25831
485,1905-08-20,469,717,26168
486,1905-08-21,495,694,25794
