,date,neg,pos,total
0,1930-11-29,1112,1451,49667
1,1930-12-06,1164,1676,55817
2,1930-12-13,1269,1708,56424
3,1930-12-20,1235,1665,56326
4,1930-12-27,1168,1656,53944
5,1931-01-03,1208,1777,57225
6,1931-01-10,1216,1740,55366
7,1931-01-17,1148,1755,56294
8,1931-01-24,1163,1747,55927
9,1931-01-31,1143,1692,55101
10,1931-02-07,1157,1746,54353
11,1931-02-14,1239,1720,57972
12,1931-02-21,1268,1792,55335
13,1931-02-28,1245,1873,55436
14,1931-03-07,1266,1922,60056
15,1931-03-14,1265,1710,55093
16,1931-03-21,1206,1761,57173
17,1931-03-28,1203,1863,58355
18,1931-04-04,1284,1721,58258
19,1931-04-11,1315,1786,60030
20,1931-04-18,1172,1618,55336
21,1931-04-25,1239,1777,58493
22,1931-05-02,1251,1829,57850
23,1931-05-09,1246,1893,57963
24,1931-05-16,1303,1796,58200
25,1931-05-23,1321,1882,57507
26,1931-05-30,1291,1861,59003
27,1931-06-06,1217,1908,58522
28,1931-06-12,1255,1828,62081
29,1931-06-20,1208,1834,57891
30,1931-06-27,1259,1863,58548
31,1931-07-04,1318,1889,58362
32,1931-07-11,1035,1458,48634
33,1931-07-18,1125,1672,50469
34,1931-07-25,1038,1623,49959
35,1931-08-02,1086,1652,49797
36,1931-08-08,975,1554,49491
37,1931-08-15,1008,1661,51047
38,1931-08-22,975,1589,48904
39,1931-08-29,1077,1562,50639
40,1931-09-05,817,1235,45533
41,1931-09-12,1042,1677,50103
42,1931-09-19,1008,1623,48908
43,1931-09-26,1060,1540,50059
44,1931-10-03,1018,1591,49628
45,1931-10-10,1073,1550,49278
46,1931-10-17,996,1550,48766
47,1931-10-24,1081,1596,48560
48,1931-10-31,1197,1672,58055
49,1931-11-07,997,1404,47973
50,1931-11-14,892,1273,43216
51,1931-11-21,1056,1464,48988
52,1931-11-28,950,1579,48686
53,1931-12-05,1094,1591,49923
54,1931-12-12,954,1571,50364
55,1931-12-19,1008,1472,48327
56,1931-12-26,794,938,38368
57,1932-01-02,1012,1471,48517
58,1932-01-09,1076,1446,49124
59,1932-01-16,835,1311,43852
60,1932-01-23,1025,1473,48132
61,1932-01-30,1124,1469,50084
62,1932-02-06,1097,1610,49659
63,1932-02-13,910,1187,45276
64,1932-02-20,1089,1527,49532
65,1932-02-27,1032,1372,48506
66,1932-03-05,1084,1548,48801
67,1932-03-12,1153,1644,50994
68,1932-03-19,1213,1635,51675
69,1932-03-26,949,1669,47492
70,1932-04-02,1024,1648,49902
71,1932-04-09,1042,1654,51980
72,1932-04-16,1067,1545,50613
73,1932-04-23,980,1285,45770
74,1932-04-30,1087,1547,51827
75,1932-05-07,1031,1523,51382
76,1932-05-14,938,1285,44754
77,1932-05-21,1153,1583,51355
78,1932-05-28,1066,1560,54473
79,1932-06-04,1018,1597,52625
80,1932-06-11,920,1383,55549
81,1932-06-18,1011,1462,52471
82,1932-06-25,872,1442,51665
83,1932-07-02,934,1502,51036
84,1932-07-09,938,1289,48834
85,1932-07-16,903,1585,55054
86,1932-07-23,1017,1605,54423
87,1932-07-30,866,1292,54377
88,1932-08-06,870,1403,49254
89,1932-08-13,865,1342,52286
90,1932-08-20,994,1517,49184
91,1932-08-27,1036,1562,51799
92,1932-09-03,1062,1558,50767
93,1932-09-10,1053,1681,54374
94,1932-09-17,1108,1524,50388
95,1932-09-24,1064,1581,49623
96,1932-10-01,951,1458,50212
97,1932-10-08,1054,1493,50665
98,1932-10-15,1105,1567,52338
99,1932-10-22,814,1070,41384
100,1932-10-29,1145,1655,51643
101,1932-11-05,1109,1565,50976
102,1932-11-12,1091,1653,55282
103,1932-11-19,1087,1680,52648
104,1932-11-26,1061,1561,52349
105,1932-12-03,1019,1538,49720
106,1932-12-10,1222,1840,60549
107,1932-12-17,1070,1416,49419
108,1932-12-24,1038,1659,53019
109,1932-12-31,1061,1541,50681
110,1933-01-07,949,1337,48760
111,1933-01-14,1212,1723,63824
112,1933-01-21,957,1582,52615
113,1933-01-28,940,1338,48497
114,1933-02-04,989,1509,49604
115,1933-02-11,1213,1670,56972
116,1933-02-18,1027,1543,50314
117,1933-02-25,1009,1627,49517
118,1933-03-04,974,1449,50097
119,1933-03-11,1291,1946,61448
120,1933-03-18,1067,1761,61468
121,1933-03-25,1499,2176,66649
122,1933-04-01,1235,1754,60044
123,1933-04-08,1304,1795,57138
124,1933-04-15,1412,2005,64883
125,1933-04-22,1054,1760,53114
126,1933-04-29,1111,1821,56489
127,1933-05-06,1122,1770,55858
128,1933-05-13,1475,1981,67046
129,1933-05-20,1310,1907,58783
130,1933-05-27,1138,1739,57436
131,1933-06-03,1119,1741,55265
132,1933-06-10,1122,1866,57970
133,1933-06-17,1186,1953,59150
134,1933-06-24,1216,1648,56065
