,date,neg,pos,total
0,1918-04-11,143,206,10304
1,1918-04-12,191,258,10135
2,1918-04-13,200,262,10602
3,1918-04-14,450,558,21132
4,1918-04-15,213,249,9585
5,1918-04-16,211,273,10775
6,1918-04-17,203,274,10329
7,1918-04-18,226,272,9836
8,1918-04-19,232,239,10162
9,1918-04-20,184,277,10177
10,1918-04-21,398,601,20416
11,1918-04-22,227,290,10021
12,1918-04-23,167,233,9705
13,1918-04-24,205,292,10210
14,1918-04-25,206,245,9802
15,1918-04-26,219,332,10155
16,1918-04-27,218,267,9927
17,1918-04-28,441,639,21428
18,1918-04-29,247,352,10361
19,1918-04-30,258,284,10477
20,1918-05-01,179,236,8762
21,1918-05-02,181,303,9892
22,1918-05-03,191,287,9480
23,1918-05-04,212,284,9436
24,1918-05-05,359,547,18546
25,1918-05-06,186,287,8982
26,1918-05-07,175,239,9083
27,1918-05-08,138,254,8402
28,1918-05-09,191,283,9621
29,1918-05-10,189,318,9094
30,1918-05-11,204,280,9787
31,1918-05-12,357,651,18498
32,1918-05-13,201,259,9808
33,1918-05-14,193,313,9311
34,1918-05-15,158,250,8809
35,1918-05-16,221,254,8880
36,1918-05-17,203,249,8924
37,1918-05-18,182,336,9440
38,1918-05-19,406,566,19297
39,1918-05-20,197,322,9284
40,1918-05-21,164,249,9643
41,1918-05-22,236,279,9808
42,1918-05-23,168,255,8909
43,1918-05-24,207,242,9481
44,1918-05-25,182,295,9085
45,1918-05-26,453,596,19376
46,1918-05-27,188,285,9643
47,1918-05-28,189,256,7949
48,1918-05-29,214,305,9579
49,1918-05-30,203,321,9483
50,1918-05-31,211,257,9043
51,1918-06-01,210,272,9262
52,1918-06-02,419,562,18430
53,1918-06-03,200,349,9554
54,1918-06-04,179,250,9446
55,1918-06-05,246,294,9798
56,1918-06-06,239,294,9440
57,1918-06-07,179,265,9676
58,1918-06-08,189,286,8967
59,1918-06-09,397,598,19610
60,1918-06-10,240,313,9265
61,1918-06-11,212,257,8948
62,1918-06-12,218,257,9196
63,1918-06-13,222,276,9319
64,1918-06-14,186,247,8325
65,1918-06-15,159,274,9127
66,1918-06-16,423,592,18972
67,1918-06-17,153,232,9293
68,1918-06-18,209,299,9462
69,1918-06-19,207,263,9408
70,1918-06-20,199,310,9393
71,1918-06-21,232,301,9215
72,1918-06-22,193,272,8633
73,1918-06-23,441,599,20326
74,1918-06-24,206,280,9609
75,1918-06-25,199,267,9239
76,1918-06-26,169,247,9366
77,1918-06-27,169,265,8893
78,1918-06-28,189,252,8671
79,1918-06-29,182,235,8274
80,1918-06-30,408,640,20904
81,1918-07-01,155,303,9149
82,1918-07-02,216,252,9102
83,1918-07-03,182,275,9467
84,1918-07-04,167,264,9708
85,1918-07-05,196,322,9687
86,1918-07-06,196,268,9452
87,1918-07-07,409,561,18554
88,1918-07-08,180,324,9635
89,1918-07-09,187,286,8299
90,1918-07-10,175,225,9237
91,1918-07-11,205,274,9647
92,1918-07-12,198,256,9743
93,1918-07-13,174,305,9325
94,1918-07-14,409,637,20075
95,1918-07-15,205,341,9671
96,1918-07-16,153,263,8872
97,1918-07-17,214,254,9007
98,1918-07-18,209,315,9910
99,1918-07-19,205,249,8929
100,1918-07-20,230,266,9353
101,1918-07-21,431,641,20319
102,1918-07-22,192,286,9759
103,1918-07-23,197,297,9651
104,1918-07-24,196,251,9040
105,1918-07-25,213,256,9303
106,1918-07-26,172,246,9390
107,1918-07-27,172,212,7960
108,1918-07-28,411,590,19226
109,1918-07-29,147,246,8244
110,1918-07-30,212,271,9450
111,1918-07-31,219,299,9641
112,1918-08-01,201,257,8782
113,1918-08-02,239,284,9519
114,1918-08-03,175,285,9475
115,1918-08-04,191,214,8986
116,1918-08-05,202,300,9499
117,1918-08-06,184,291,9117
118,1918-08-07,184,218,8596
119,1918-08-08,203,252,9188
120,1918-08-09,197,229,9361
121,1918-08-10,210,273,9809
122,1918-08-11,221,234,9355
123,1918-08-12,207,291,9737
124,1918-08-13,181,228,9022
125,1918-08-14,235,235,8865
126,1918-08-15,195,251,9140
127,1918-08-16,206,187,7798
128,1918-08-17,194,223,8862
129,1918-08-18,174,230,10066
130,1918-08-19,219,301,9038
131,1918-08-20,169,215,8665
132,1918-08-21,207,299,9081
133,1918-08-22,202,243,8442
134,1918-08-23,169,226,8285
135,1918-08-24,199,256,9006
136,1918-08-25,167,258,9082
137,1918-08-26,172,239,8748
138,1918-08-27,169,258,8985
139,1918-08-28,187,215,9021
140,1918-08-29,168,234,8558
141,1918-08-30,168,222,8817
142,1918-08-31,211,269,9545
143,1918-09-01,224,248,9467
144,1918-09-02,195,289,10185
145,1918-09-03,249,232,8913
146,1918-09-04,199,243,8754
147,1918-09-05,126,237,8640
148,1918-09-06,191,269,9029
149,1918-09-07,151,247,8914
150,1918-09-08,163,272,9342
151,1918-09-09,205,305,9024
152,1918-09-10,178,259,8984
153,1918-09-11,261,286,9430
154,1918-09-12,184,296,9289
155,1918-09-13,197,264,9231
156,1918-09-14,206,269,9626
157,1918-09-15,150,281,10066
158,1918-09-16,233,249,9209
159,1918-09-17,197,267,9204
160,1918-09-18,149,309,9533
161,1918-09-19,150,255,9069
162,1918-09-20,178,230,8921
163,1918-09-21,221,273,10093
164,1918-09-22,186,278,9355
165,1918-09-23,167,247,9633
166,1918-09-24,175,252,9167
167,1918-09-25,152,268,8915
168,1918-09-26,193,297,8850
169,1918-09-27,163,249,8961
170,1918-09-28,203,274,9591
171,1918-10-04,178,298,8903
172,1918-10-05,145,236,8159
173,1918-10-06,225,266,9282
174,1918-10-07,144,255,9362
175,1918-10-08,191,283,9327
176,1918-10-09,186,270,9371
177,1918-10-10,149,225,8492
178,1918-10-11,202,303,9528
179,1918-10-12,171,213,8168
180,1918-10-13,163,277,9451
181,1918-10-14,171,251,8770
182,1918-10-15,153,262,8935
183,1918-10-16,141,248,8564
184,1918-10-18,191,248,9247
185,1918-10-19,172,259,9305
186,1918-10-20,150,229,9499
187,1918-10-21,161,256,8886
188,1918-10-22,193,293,8974
189,1918-10-23,189,274,9527
190,1918-10-24,178,300,9711
191,1918-10-25,177,341,9091
192,1918-10-26,186,281,9189
193,1918-10-27,172,284,9116
194,1918-10-28,229,299,9875
195,1918-10-29,140,276,8919
196,1918-10-30,192,258,9447
197,1918-10-31,177,312,9249
198,1918-11-01,204,307,8951
199,1918-11-02,184,293,8893
200,1918-11-03,128,234,8729
201,1918-11-04,165,318,8884
202,1918-11-05,224,312,9456
203,1918-11-06,154,296,8763
204,1918-11-07,147,295,8835
205,1918-11-08,174,307,8667
206,1918-11-09,125,246,8382
207,1918-11-10,318,469,19788
208,1918-11-11,199,307,9048
