,date,neg,pos,total
0,1861-04-25,314,658,23809
1,1861-04-26,362,641,23923
2,1861-04-27,546,753,23749
3,1861-04-29,391,573,25529
4,1861-04-30,470,732,25927
5,1861-05-01,308,509,28006
6,1861-05-02,494,679,27416
7,1861-05-03,467,655,28025
8,1861-05-04,445,805,28732
9,1861-05-06,540,751,26190
10,1861-05-07,520,881,28122
11,1861-05-08,547,623,26671
12,1861-05-09,571,731,26901
13,1861-05-10,534,725,25234
14,1861-05-11,531,766,24400
15,1861-05-12,477,660,24537
16,1861-05-13,487,600,24419
17,1861-05-14,586,698,26039
18,1861-05-15,533,746,26961
19,1861-05-16,594,719,27942
20,1861-05-17,484,653,25253
21,1861-05-18,544,683,25147
22,1861-05-19,403,666,25769
23,1861-05-20,405,840,23531
24,1861-05-21,335,569,20830
25,1861-05-22,473,595,24076
26,1861-05-23,359,607,21616
27,1861-05-24,412,841,27743
28,1861-05-25,473,711,26312
29,1861-05-26,398,607,21820
30,1861-05-27,529,810,25272
31,1861-05-28,385,622,21709
32,1861-05-29,492,770,26678
33,1861-05-30,372,646,22877
34,1861-05-31,472,793,28764
35,1861-06-01,569,661,26193
36,1861-06-02,537,768,28562
37,1861-06-03,490,674,22612
38,1861-06-04,414,813,26154
39,1861-06-05,417,712,26414
40,1861-06-06,343,690,25398
41,1861-06-07,457,638,26369
42,1861-06-08,455,682,26895
43,1861-06-09,446,708,25219
44,1861-06-10,542,858,29446
45,1861-06-11,607,825,29114
46,1861-06-12,527,747,28259
47,1861-06-13,474,835,27996
48,1861-06-14,444,684,27255
49,1861-06-15,433,736,28823
50,1861-06-16,512,836,28631
51,1861-06-17,466,759,25651
52,1861-06-18,428,675,26296
53,1861-06-19,378,640,23469
54,1861-06-20,440,830,29502
55,1861-06-21,443,750,27526
56,1861-06-22,341,542,25102
57,1861-06-23,383,630,24829
58,1861-06-24,528,652,25023
59,1861-06-25,462,742,27242
60,1861-06-26,515,899,29930
61,1861-06-27,452,776,27777
62,1861-06-28,480,772,30078
63,1861-06-29,383,581,25847
64,1861-06-30,308,622,25465
65,1861-07-01,400,737,27926
