,date,pas,total
0,1918-04-11,36,10304
1,1918-04-12,45,10135
2,1918-04-13,45,10602
3,1918-04-14,128,21132
4,1918-04-15,54,9585
5,1918-04-16,54,10775
6,1918-04-17,52,10329
7,1918-04-18,57,9836
8,1918-04-19,64,10162
9,1918-04-20,47,10177
10,1918-04-21,121,20416
11,1918-04-22,62,10021
12,1918-04-23,58,9705
13,1918-04-24,49,10210
14,1918-04-25,59,9802
15,1918-04-26,52,10155
16,1918-04-27,47,9927
17,1918-04-28,132,21428
18,1918-04-29,64,10361
19,1918-04-30,50,10477
20,1918-05-01,46,8762
21,1918-05-02,54,9892
22,1918-05-03,37,9480
23,1918-05-04,53,9436
24,1918-05-05,114,18546
25,1918-05-06,74,8982
26,1918-05-07,47,9083
27,1918-05-08,38,8402
28,1918-05-09,57,9621
29,1918-05-10,60,9094
30,1918-05-11,45,9787
31,1918-05-12,119,18498
32,1918-05-13,63,9808
33,1918-05-14,51,9311
34,1918-05-15,54,8809
35,1918-05-16,47,8880
36,1918-05-17,52,8924
37,1918-05-18,50,9440
38,1918-05-19,119,19297
39,1918-05-20,52,9284
40,1918-05-21,49,9643
41,1918-05-22,47,9808
42,1918-05-23,58,8909
43,1918-05-24,54,9481
44,1918-05-25,49,9085
45,1918-05-26,121,19376
46,1918-05-27,57,9643
47,1918-05-28,48,7949
48,1918-05-29,60,9579
49,1918-05-30,54,9483
50,1918-05-31,51,9043
51,1918-06-01,69,9262
52,1918-06-02,120,18430
53,1918-06-03,61,9554
54,1918-06-04,54,9446
55,1918-06-05,52,9798
56,1918-06-06,65,9440
57,1918-06-07,56,9676
58,1918-06-08,55,8967
59,1918-06-09,139,19610
60,1918-06-10,60,9265
61,1918-06-11,46,8948
62,1918-06-12,38,9196
63,1918-06-13,66,9319
64,1918-06-14,51,8325
65,1918-06-15,30,9127
66,1918-06-16,127,18972
67,1918-06-17,54,9293
68,1918-06-18,50,9462
69,1918-06-19,68,9408
70,1918-06-20,52,9393
71,1918-06-21,64,9215
72,1918-06-22,39,8633
73,1918-06-23,109,20326
74,1918-06-24,66,9609
75,1918-06-25,53,9239
76,1918-06-26,49,9366
77,1918-06-27,51,8893
78,1918-06-28,38,8671
79,1918-06-29,38,8274
80,1918-06-30,151,20904
81,1918-07-01,43,9149
82,1918-07-02,46,9102
83,1918-07-03,55,9467
84,1918-07-04,53,9708
85,1918-07-05,64,9687
86,1918-07-06,57,9452
87,1918-07-07,139,18554
88,1918-07-08,45,9635
89,1918-07-09,55,8299
90,1918-07-10,43,9237
91,1918-07-11,52,9647
92,1918-07-12,50,9743
93,1918-07-13,69,9325
94,1918-07-14,125,20075
95,1918-07-15,49,9671
96,1918-07-16,55,8872
97,1918-07-17,68,9007
98,1918-07-18,78,9910
99,1918-07-19,79,8929
100,1918-07-20,56,9353
101,1918-07-21,147,20319
102,1918-07-22,56,9759
103,1918-07-23,82,9651
104,1918-07-24,59,9040
105,1918-07-25,50,9303
106,1918-07-26,72,9390
107,1918-07-27,35,7960
108,1918-07-28,159,19226
109,1918-07-29,57,8244
110,1918-07-30,87,9450
111,1918-07-31,54,9641
112,1918-08-01,47,8782
113,1918-08-02,47,9519
114,1918-08-03,70,9475
115,1918-08-04,56,8986
116,1918-08-05,50,9499
117,1918-08-06,52,9117
118,1918-08-07,34,8596
119,1918-08-08,42,9188
120,1918-08-09,62,9361
121,1918-08-10,41,9809
122,1918-08-11,38,9355
123,1918-08-12,50,9737
124,1918-08-13,51,9022
125,1918-08-14,45,8865
126,1918-08-15,74,9140
127,1918-08-16,46,7798
128,1918-08-17,54,8862
129,1918-08-18,49,10066
130,1918-08-19,68,9038
131,1918-08-20,44,8665
132,1918-08-21,64,9081
133,1918-08-22,40,8442
134,1918-08-23,40,8285
135,1918-08-24,36,9006
136,1918-08-25,63,9082
