"","date","pas","total"
"1","1846-01-01",0,227
"2","1846-01-01",0,157
"3","1846-01-01",10,1543
"4","1846-01-01",0,136
"5","1846-01-01",1,565
"6","1846-01-01",4,1690
"7","1846-01-01",11,3875
"8","1846-01-01",1,467
"9","1846-01-01",4,820
"10","1846-01-01",3,1145
"11","1846-01-01",0,783
"12","1846-01-01",4,1105
"13","1846-01-01",0,95
"14","1846-01-01",8,1589
"15","1846-01-02",1,966
"16","1846-01-02",0,266
"17","1846-01-02",11,1859
"18","1846-01-02",0,183
"19","1846-01-02",3,1094
"20","1846-01-02",7,2179
"21","1846-01-02",11,2304
"22","1846-01-02",6,3100
"23","1846-01-02",1,874
"24","1846-01-02",0,282
"25","1846-01-02",5,1062
"26","1846-01-02",3,515
"27","1846-01-02",0,68
"28","1846-01-02",8,935
"29","1846-01-04",1,476
"30","1846-01-04",0,27
"31","1846-01-04",5,1354
"32","1846-01-04",2,748
"33","1846-01-04",0,187
"34","1846-01-04",0,408
"35","1846-01-04",3,1182
"36","1846-01-04",6,2080
"37","1846-01-04",0,29
"38","1846-01-04",30,3494
"39","1846-01-04",0,719
"40","1846-01-04",0,65
"41","1846-01-04",6,619
"42","1846-01-04",1,392
"43","1846-01-04",2,598
"44","1846-01-04",2,225
"45","1846-01-05",6,911
"46","1846-01-05",5,2552
"47","1846-01-05",3,518
"48","1846-01-05",1,231
"49","1846-01-05",6,2619
"50","1846-01-05",3,973
"51","1846-01-05",1,580
"52","1846-01-05",13,2712
"53","1846-01-05",0,180
"54","1846-01-05",0,117
"55","1846-01-05",12,1344
"56","1846-01-05",3,1105
"57","1846-01-05",0,57
"58","1846-01-05",3,187
"59","1846-01-06",2,1933
"60","1846-01-06",0,168
"61","1846-01-06",0,190
"62","1846-01-06",8,1916
"63","1846-01-06",5,684
"64","1846-01-06",5,875
"65","1846-01-06",1,475
"66","1846-01-06",1,951
"67","1846-01-06",0,677
"68","1846-01-06",0,345
"69","1846-01-06",0,78
"70","1846-01-06",5,1407
"71","1846-01-06",25,2018
"72","1846-01-06",6,1488
"73","1846-01-06",19,1646
"74","1846-01-07",5,653
"75","1846-01-07",0,54
"76","1846-01-07",0,322
"77","1846-01-07",1,164
"78","1846-01-07",0,307
"79","1846-01-07",3,1141
"80","1846-01-07",7,2636
"81","1846-01-07",5,1832
"82","1846-01-07",0,221
"83","1846-01-07",5,1190
"84","1846-01-07",0,26
"85","1846-01-07",0,1097
"86","1846-01-07",0,152
"87","1846-01-07",6,321
"88","1846-01-07",8,1644
"89","1846-01-07",10,1154
"90","1846-01-07",1,283
"91","1846-01-07",0,63
"92","1846-01-08",1,398
"93","1846-01-08",0,109
"94","1846-01-08",0,106
"95","1846-01-08",0,199
"96","1846-01-08",9,2035
"97","1846-01-08",2,907
"98","1846-01-08",7,2978
"99","1846-01-08",1,605
"100","1846-01-08",0,1280
"101","1846-01-08",1,985
"102","1846-01-08",0,523
"103","1846-01-08",1,898
"104","1846-01-09",0,32
"105","1846-01-09",0,163
"106","1846-01-09",18,3098
"107","1846-01-09",0,206
"108","1846-01-09",6,2036
"109","1846-01-09",1,714
"110","1846-01-09",3,875
"111","1846-01-09",45,6743
"112","1846-01-09",0,89
"113","1846-01-09",1,239
"114","1846-01-09",7,1501
"115","1846-01-09",1,384
"116","1846-01-09",0,73
"117","1846-01-10",0,248
"118","1846-01-10",1,64
"119","1846-01-10",11,1774
"120","1846-01-10",0,180
"121","1846-01-10",6,1104
"122","1846-01-10",0,734
"123","1846-01-10",10,994
"124","1846-01-10",50,4904
"125","1846-01-10",0,1791
"126","1846-01-10",0,528
"127","1846-01-10",18,2076
"128","1846-01-10",0,179
"129","1846-01-10",2,592
"130","1846-01-11",0,110
"131","1846-01-11",0,370
"132","1846-01-11",16,2651
"133","1846-01-11",1,434
"134","1846-01-11",0,115
"135","1846-01-11",3,481
"136","1846-01-11",10,2359
"137","1846-01-11",15,1888
"138","1846-01-11",34,3386
"139","1846-01-11",0,1182
"140","1846-01-11",0,508
"141","1846-01-11",6,1032
"142","1846-01-11",0,129
"143","1846-01-11",6,415
"144","1846-01-11",4,527
"145","1846-01-11",2,279
"146","1846-01-12",0,44
"147","1846-01-12",0,53
"148","1846-01-12",12,1840
"149","1846-01-12",3,791
"150","1846-01-12",23,4160
"151","1846-01-12",20,2390
"152","1846-01-12",4,508
"153","1846-01-12",4,1090
"154","1846-01-12",0,505
"155","1846-01-12",0,337
"156","1846-01-12",6,1369
"157","1846-01-12",0,34
"158","1846-01-12",3,1061
"159","1846-01-12",7,1097
"160","1846-01-13",2,1997
"161","1846-01-13",0,198
"162","1846-01-13",9,1369
"163","1846-01-13",6,2055
"164","1846-01-13",17,3426
"165","1846-01-13",0,90
"166","1846-01-13",0,929
"167","1846-01-13",0,411
"168","1846-01-13",16,2777
"169","1846-01-13",15,2630
"170","1846-01-13",3,506
"171","1846-01-14",0,37
"172","1846-01-14",0,160
"173","1846-01-14",2,1083
"174","1846-01-14",0,201
"175","1846-01-14",9,1515
"176","1846-01-14",7,1864
"177","1846-01-14",19,2348
"178","1846-01-14",6,456
"179","1846-01-14",19,1885
"180","1846-01-14",0,520
"181","1846-01-14",0,805
"182","1846-01-14",24,1847
"183","1846-01-14",13,1816
"184","1846-01-14",0,137
"185","1846-01-14",2,511
"186","1846-01-14",2,104
"187","1846-01-15",0,120
"188","1846-01-15",0,91
"189","1846-01-15",0,711
"190","1846-01-15",0,73
"191","1846-01-15",3,704
"192","1846-01-15",13,2676
"193","1846-01-15",7,1243
"194","1846-01-15",11,1252
"195","1846-01-15",23,3558
"196","1846-01-15",0,1050
"197","1846-01-15",0,212
"198","1846-01-15",8,919
"199","1846-01-15",4,714
"200","1846-01-15",6,658
"201","1846-01-15",4,869
"202","1846-01-16",0,138
"203","1846-01-16",0,77
"204","1846-01-16",1,620
"205","1846-01-16",0,124
"206","1846-01-16",5,927
"207","1846-01-16",6,1496
"208","1846-01-16",13,2571
"209","1846-01-16",10,1044
"210","1846-01-16",22,2895
"211","1846-01-16",0,1457
"212","1846-01-16",0,182
"213","1846-01-16",5,1369
"214","1846-01-16",6,1129
"215","1846-01-16",4,330
"216","1846-01-16",2,723
"217","1846-01-17",0,108
"218","1846-01-17",0,120
"219","1846-01-17",5,1340
"220","1846-01-17",7,993
"221","1846-01-17",0,110
"222","1846-01-17",8,1203
"223","1846-01-17",8,2339
"224","1846-01-17",15,2360
"225","1846-01-17",26,3889
"226","1846-01-17",0,358
"227","1846-01-17",0,213
"228","1846-01-17",3,763
"229","1846-01-17",22,1161
"230","1846-01-17",0,68
"231","1846-01-18",13,1314
"232","1846-01-18",0,226
"233","1846-01-18",18,3531
"234","1846-01-18",2,550
"235","1846-01-18",0,354
"236","1846-01-18",1,491
"237","1846-01-18",1,970
"238","1846-01-18",18,2389
"239","1846-01-18",1,559
"240","1846-01-18",1,1125
"241","1846-01-18",0,679
"242","1846-01-18",2,460
"243","1846-01-18",6,1522
"244","1846-01-18",1,908
"245","1846-01-19",0,357
"246","1846-01-19",0,32
"247","1846-01-19",4,1038
"248","1846-01-19",4,417
"249","1846-01-19",14,1071
"250","1846-01-19",3,982
"251","1846-01-19",6,1758
"252","1846-01-19",0,109
"253","1846-01-19",0,997
"254","1846-01-19",0,142
"255","1846-01-19",16,2924
"256","1846-01-19",14,2153
"257","1846-01-19",19,2645
"258","1846-01-20",0,91
"259","1846-01-20",0,195
"260","1846-01-20",1,611
"261","1846-01-20",3,551
"262","1846-01-20",0,49
"263","1846-01-20",18,2535
"264","1846-01-20",5,1114
"265","1846-01-20",0,660
"266","1846-01-20",101,10340
"267","1846-01-20",0,934
"268","1846-01-20",0,677
"269","1846-01-20",21,2186
"270","1846-01-20",3,496
"271","1846-01-20",0,33
"272","1846-01-20",4,658
"273","1846-01-20",21,2552
"274","1846-01-21",0,410
"275","1846-01-21",0,29
"276","1846-01-21",0,511
"277","1846-01-21",0,169
"278","1846-01-21",4,1133
"279","1846-01-21",3,205
"280","1846-01-21",32,3014
"281","1846-01-21",0,799
"282","1846-01-21",0,434
"283","1846-01-21",49,5787
"284","1846-01-21",19,2037
"285","1846-01-21",16,1220
"286","1846-01-21",9,869
"287","1846-01-21",69,6055
"288","1846-01-22",0,362
"289","1846-01-22",4,550
"290","1846-01-22",1,86
"291","1846-01-22",0,117
"292","1846-01-22",2,486
"293","1846-01-22",8,751
"294","1846-01-22",27,3989
"295","1846-01-22",42,4795
"296","1846-01-22",1,791
